segment_id,cloud_uri,local_path,status,return_code,error_message
12657584952502228282_3940_000_3960_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/12657584952502228282_3940_000_3960_000.parquet,data\waymo\raw\validation\camera_box\candidates\12657584952502228282_3940_000_3960_000.parquet,downloaded,0,
14624061243736004421_1840_000_1860_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14624061243736004421_1840_000_1860_000.parquet,data\waymo\raw\validation\camera_box\candidates\14624061243736004421_1840_000_1860_000.parquet,downloaded,0,
4246537812751004276_1560_000_1580_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4246537812751004276_1560_000_1580_000.parquet,data\waymo\raw\validation\camera_box\candidates\4246537812751004276_1560_000_1580_000.parquet,downloaded,0,
6324079979569135086_2372_300_2392_300,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/6324079979569135086_2372_300_2392_300.parquet,data\waymo\raw\validation\camera_box\candidates\6324079979569135086_2372_300_2392_300.parquet,downloaded,0,
7988627150403732100_1487_540_1507_540,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/7988627150403732100_1487_540_1507_540.parquet,data\waymo\raw\validation\camera_box\candidates\7988627150403732100_1487_540_1507_540.parquet,downloaded,0,
12358364923781697038_2232_990_2252_990,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/12358364923781697038_2232_990_2252_990.parquet,data\waymo\raw\validation\camera_box\candidates\12358364923781697038_2232_990_2252_990.parquet,downloaded,0,
14687328292438466674_892_000_912_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14687328292438466674_892_000_912_000.parquet,data\waymo\raw\validation\camera_box\candidates\14687328292438466674_892_000_912_000.parquet,downloaded,0,
8398516118967750070_3958_000_3978_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8398516118967750070_3958_000_3978_000.parquet,data\waymo\raw\validation\camera_box\candidates\8398516118967750070_3958_000_3978_000.parquet,downloaded,0,
16213317953898915772_1597_170_1617_170,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/16213317953898915772_1597_170_1617_170.parquet,data\waymo\raw\validation\camera_box\candidates\16213317953898915772_1597_170_1617_170.parquet,downloaded,0,
4423389401016162461_4235_900_4255_900,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4423389401016162461_4235_900_4255_900.parquet,data\waymo\raw\validation\camera_box\candidates\4423389401016162461_4235_900_4255_900.parquet,downloaded,0,
6001094526418694294_4609_470_4629_470,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/6001094526418694294_4609_470_4629_470.parquet,data\waymo\raw\validation\camera_box\candidates\6001094526418694294_4609_470_4629_470.parquet,downloaded,0,
11616035176233595745_3548_820_3568_820,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/11616035176233595745_3548_820_3568_820.parquet,data\waymo\raw\validation\camera_box\candidates\11616035176233595745_3548_820_3568_820.parquet,downloaded,0,
15959580576639476066_5087_580_5107_580,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/15959580576639476066_5087_580_5107_580.parquet,data\waymo\raw\validation\camera_box\candidates\15959580576639476066_5087_580_5107_580.parquet,downloaded,0,
2736377008667623133_2676_410_2696_410,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/2736377008667623133_2676_410_2696_410.parquet,data\waymo\raw\validation\camera_box\candidates\2736377008667623133_2676_410_2696_410.parquet,downloaded,0,
3039251927598134881_1240_610_1260_610,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/3039251927598134881_1240_610_1260_610.parquet,data\waymo\raw\validation\camera_box\candidates\3039251927598134881_1240_610_1260_610.parquet,downloaded,0,
3126522626440597519_806_440_826_440,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/3126522626440597519_806_440_826_440.parquet,data\waymo\raw\validation\camera_box\candidates\3126522626440597519_806_440_826_440.parquet,downloaded,0,
2105808889850693535_2295_720_2315_720,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/2105808889850693535_2295_720_2315_720.parquet,data\waymo\raw\validation\camera_box\candidates\2105808889850693535_2295_720_2315_720.parquet,downloaded,0,
10289507859301986274_4200_000_4220_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/10289507859301986274_4200_000_4220_000.parquet,data\waymo\raw\validation\camera_box\candidates\10289507859301986274_4200_000_4220_000.parquet,downloaded,0,
13356997604177841771_3360_000_3380_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/13356997604177841771_3360_000_3380_000.parquet,data\waymo\raw\validation\camera_box\candidates\13356997604177841771_3360_000_3380_000.parquet,downloaded,0,
15224741240438106736_960_000_980_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/15224741240438106736_960_000_980_000.parquet,data\waymo\raw\validation\camera_box\candidates\15224741240438106736_960_000_980_000.parquet,downloaded,0,
30779396576054160_1880_000_1900_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/30779396576054160_1880_000_1900_000.parquet,data\waymo\raw\validation\camera_box\candidates\30779396576054160_1880_000_1900_000.parquet,downloaded,0,
3577352947946244999_3980_000_4000_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/3577352947946244999_3980_000_4000_000.parquet,data\waymo\raw\validation\camera_box\candidates\3577352947946244999_3980_000_4000_000.parquet,downloaded,0,
4690718861228194910_1980_000_2000_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4690718861228194910_1980_000_2000_000.parquet,data\waymo\raw\validation\camera_box\candidates\4690718861228194910_1980_000_2000_000.parquet,downloaded,0,
7493781117404461396_2140_000_2160_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/7493781117404461396_2140_000_2160_000.parquet,data\waymo\raw\validation\camera_box\candidates\7493781117404461396_2140_000_2160_000.parquet,downloaded,0,
7732779227944176527_2120_000_2140_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/7732779227944176527_2120_000_2140_000.parquet,data\waymo\raw\validation\camera_box\candidates\7732779227944176527_2120_000_2140_000.parquet,downloaded,0,
8137195482049459160_3100_000_3120_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8137195482049459160_3100_000_3120_000.parquet,data\waymo\raw\validation\camera_box\candidates\8137195482049459160_3100_000_3120_000.parquet,downloaded,0,
8302000153252334863_6020_000_6040_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8302000153252334863_6020_000_6040_000.parquet,data\waymo\raw\validation\camera_box\candidates\8302000153252334863_6020_000_6040_000.parquet,downloaded,0,
8506432817378693815_4860_000_4880_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8506432817378693815_4860_000_4880_000.parquet,data\waymo\raw\validation\camera_box\candidates\8506432817378693815_4860_000_4880_000.parquet,downloaded,0,
12306251798468767010_560_000_580_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/12306251798468767010_560_000_580_000.parquet,data\waymo\raw\validation\camera_box\candidates\12306251798468767010_560_000_580_000.parquet,downloaded,0,
17135518413411879545_1480_000_1500_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/17135518413411879545_1480_000_1500_000.parquet,data\waymo\raw\validation\camera_box\candidates\17135518413411879545_1480_000_1500_000.parquet,downloaded,0,
933621182106051783_4160_000_4180_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/933621182106051783_4160_000_4180_000.parquet,data\waymo\raw\validation\camera_box\candidates\933621182106051783_4160_000_4180_000.parquet,downloaded,0,
13184115878756336167_1354_000_1374_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/13184115878756336167_1354_000_1374_000.parquet,data\waymo\raw\validation\camera_box\candidates\13184115878756336167_1354_000_1374_000.parquet,downloaded,0,
11901761444769610243_556_000_576_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/11901761444769610243_556_000_576_000.parquet,data\waymo\raw\validation\camera_box\candidates\11901761444769610243_556_000_576_000.parquet,downloaded,0,
10335539493577748957_1372_870_1392_870,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/10335539493577748957_1372_870_1392_870.parquet,data\waymo\raw\validation\camera_box\candidates\10335539493577748957_1372_870_1392_870.parquet,downloaded,0,
11037651371539287009_77_670_97_670,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/11037651371539287009_77_670_97_670.parquet,data\waymo\raw\validation\camera_box\candidates\11037651371539287009_77_670_97_670.parquet,downloaded,0,
18305329035161925340_4466_730_4486_730,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/18305329035161925340_4466_730_4486_730.parquet,data\waymo\raw\validation\camera_box\candidates\18305329035161925340_4466_730_4486_730.parquet,downloaded,0,
4816728784073043251_5273_410_5293_410,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4816728784073043251_5273_410_5293_410.parquet,data\waymo\raw\validation\camera_box\candidates\4816728784073043251_5273_410_5293_410.parquet,downloaded,0,
9164052963393400298_4692_970_4712_970,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/9164052963393400298_4692_970_4712_970.parquet,data\waymo\raw\validation\camera_box\candidates\9164052963393400298_4692_970_4712_970.parquet,downloaded,0,
14107757919671295130_3546_370_3566_370,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14107757919671295130_3546_370_3566_370.parquet,data\waymo\raw\validation\camera_box\candidates\14107757919671295130_3546_370_3566_370.parquet,downloaded,0,
18024188333634186656_1566_600_1586_600,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/18024188333634186656_1566_600_1586_600.parquet,data\waymo\raw\validation\camera_box\candidates\18024188333634186656_1566_600_1586_600.parquet,downloaded,0,
8679184381783013073_7740_000_7760_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/8679184381783013073_7740_000_7760_000.parquet,data\waymo\raw\validation\camera_box\candidates\8679184381783013073_7740_000_7760_000.parquet,downloaded,0,
13694146168933185611_800_000_820_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/13694146168933185611_800_000_820_000.parquet,data\waymo\raw\validation\camera_box\candidates\13694146168933185611_800_000_820_000.parquet,downloaded,0,
1464917900451858484_1960_000_1980_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/1464917900451858484_1960_000_1980_000.parquet,data\waymo\raw\validation\camera_box\candidates\1464917900451858484_1960_000_1980_000.parquet,downloaded,0,
4426410228514970291_1620_000_1640_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/4426410228514970291_1620_000_1640_000.parquet,data\waymo\raw\validation\camera_box\candidates\4426410228514970291_1620_000_1640_000.parquet,downloaded,0,
11387395026864348975_3820_000_3840_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/11387395026864348975_3820_000_3840_000.parquet,data\waymo\raw\validation\camera_box\candidates\11387395026864348975_3820_000_3840_000.parquet,downloaded,0,
11660186733224028707_420_000_440_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/11660186733224028707_420_000_440_000.parquet,data\waymo\raw\validation\camera_box\candidates\11660186733224028707_420_000_440_000.parquet,downloaded,0,
13982731384839979987_1680_000_1700_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/13982731384839979987_1680_000_1700_000.parquet,data\waymo\raw\validation\camera_box\candidates\13982731384839979987_1680_000_1700_000.parquet,downloaded,0,
14300007604205869133_1160_000_1180_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/14300007604205869133_1160_000_1180_000.parquet,data\waymo\raw\validation\camera_box\candidates\14300007604205869133_1160_000_1180_000.parquet,downloaded,0,
15028688279822984888_1560_000_1580_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/15028688279822984888_1560_000_1580_000.parquet,data\waymo\raw\validation\camera_box\candidates\15028688279822984888_1560_000_1580_000.parquet,downloaded,0,
5289247502039512990_2640_000_2660_000,gs://waymo_open_dataset_v_2_0_1/validation/camera_box/5289247502039512990_2640_000_2660_000.parquet,data\waymo\raw\validation\camera_box\candidates\5289247502039512990_2640_000_2660_000.parquet,downloaded,0,
