segment_id,source_file,number_of_frames,time_of_day,location,weather,average_vehicles_per_frame,maximum_vehicles_in_frame,vehicle_frame_coverage_percent,average_pedestrians_per_frame,maximum_pedestrians_in_frame,pedestrian_frame_coverage_percent,average_cyclists_per_frame,maximum_cyclists_in_frame,cyclist_frame_coverage_percent,average_signs_per_frame,average_target_objects_per_frame,density_group
16979882728032305374_2719_000_2739_000,16979882728032305374_2719_000_2739_000.parquet,198,Day,location_phx,sunny,43.944,50,100.0,0.0,0,0.0,0.0,0,0.0,0.0,43.944,medium
17344036177686610008_7852_160_7872_160,17344036177686610008_7852_160_7872_160.parquet,198,Day,location_phx,sunny,9.045,19,100.0,0.879,6,37.37,0.0,0,0.0,0.0,9.924,low
17962792089966876718_2210_933_2230_933,17962792089966876718_2210_933_2230_933.parquet,199,Day,location_phx,sunny,61.618,92,100.0,0.035,1,3.52,0.905,1,90.45,0.0,62.558,medium
18045724074935084846_6615_900_6635_900,18045724074935084846_6615_900_6635_900.parquet,199,Day,location_phx,sunny,14.196,18,100.0,1.482,3,69.85,0.0,0,0.0,0.0,15.678,low
18252111882875503115_378_471_398_471,18252111882875503115_378_471_398_471.parquet,198,Day,location_phx,sunny,78.768,126,100.0,1.323,4,72.73,0.0,0,0.0,0.0,80.091,high
18333922070582247333_320_280_340_280,18333922070582247333_320_280_340_280.parquet,198,Day,location_phx,sunny,1.298,8,60.61,6.798,13,97.47,0.0,0,0.0,0.0,8.096,low
2094681306939952000_2972_300_2992_300,2094681306939952000_2972_300_2992_300.parquet,199,Day,location_phx,sunny,98.106,123,100.0,7.106,11,100.0,0.0,0,0.0,0.0,105.211,high
2105808889850693535_2295_720_2315_720,2105808889850693535_2295_720_2315_720.parquet,198,Day,location_phx,sunny,54.258,108,100.0,7.116,21,99.49,0.187,2,17.17,0.0,61.561,medium
2367305900055174138_1881_827_1901_827,2367305900055174138_1881_827_1901_827.parquet,197,Day,location_phx,sunny,17.249,25,100.0,2.492,7,61.93,0.0,0,0.0,0.0,19.741,low
2506799708748258165_6455_000_6475_000,2506799708748258165_6455_000_6475_000.parquet,199,Day,location_phx,sunny,32.92,42,100.0,0.0,0,0.0,0.0,0,0.0,0.0,32.92,medium
260994483494315994_2797_545_2817_545,260994483494315994_2797_545_2817_545.parquet,199,Day,location_phx,sunny,46.04,56,100.0,5.698,10,90.95,0.0,0,0.0,0.0,51.739,medium
2624187140172428292_73_000_93_000,2624187140172428292_73_000_93_000.parquet,199,Day,location_phx,sunny,56.96,74,100.0,1.437,3,85.93,0.0,0,0.0,0.0,58.397,medium
271338158136329280_2541_070_2561_070,271338158136329280_2541_070_2561_070.parquet,199,Day,location_phx,sunny,9.93,22,100.0,0.0,0,0.0,0.0,0,0.0,0.0,9.93,low
272435602399417322_2884_130_2904_130,272435602399417322_2884_130_2904_130.parquet,197,Day,location_phx,sunny,7.228,14,100.0,0.655,4,31.47,0.0,0,0.0,0.0,7.883,low
2736377008667623133_2676_410_2696_410,2736377008667623133_2676_410_2696_410.parquet,197,Day,location_phx,sunny,5.64,12,100.0,3.178,9,95.94,1.036,2,95.43,0.0,9.853,low
2834723872140855871_1615_000_1635_000,2834723872140855871_1615_000_1635_000.parquet,198,Day,location_phx,sunny,59.369,90,100.0,0.136,3,8.59,2.101,7,60.1,0.0,61.606,medium
3039251927598134881_1240_610_1260_610,3039251927598134881_1240_610_1260_610.parquet,198,Day,location_phx,sunny,11.712,20,100.0,10.434,26,87.88,0.0,0,0.0,0.0,22.146,low
3126522626440597519_806_440_826_440,3126522626440597519_806_440_826_440.parquet,198,Day,location_phx,sunny,17.646,43,100.0,1.455,6,43.94,3.646,8,100.0,0.0,22.747,low
346889320598157350_798_187_818_187,346889320598157350_798_187_818_187.parquet,199,Day,location_phx,sunny,46.106,67,100.0,2.779,7,100.0,0.216,2,17.09,0.0,49.101,medium
366934253670232570_2229_530_2249_530,366934253670232570_2229_530_2249_530.parquet,198,Day,location_phx,sunny,2.495,13,70.2,0.47,2,41.41,0.495,2,44.95,0.0,3.46,low
4195774665746097799_7300_960_7320_960,4195774665746097799_7300_960_7320_960.parquet,199,Day,location_phx,sunny,9.397,17,100.0,1.673,6,60.8,0.0,0,0.0,0.0,11.07,low
4423389401016162461_4235_900_4255_900,4423389401016162461_4235_900_4255_900.parquet,198,Day,location_phx,sunny,61.056,79,100.0,10.904,21,100.0,0.0,0,0.0,0.0,71.96,high
4490196167747784364_616_569_636_569,4490196167747784364_616_569_636_569.parquet,198,Day,location_phx,sunny,28.535,62,100.0,0.03,1,3.03,0.677,2,63.64,0.0,29.242,medium
5183174891274719570_3464_030_3484_030,5183174891274719570_3464_030_3484_030.parquet,199,Day,location_phx,sunny,6.332,11,100.0,1.874,4,77.89,0.704,2,57.79,0.0,8.91,low
5372281728627437618_2005_000_2025_000,5372281728627437618_2005_000_2025_000.parquet,198,Day,location_phx,sunny,43.909,56,100.0,0.0,0,0.0,0.0,0,0.0,0.0,43.909,medium
5373876050695013404_3817_170_3837_170,5373876050695013404_3817_170_3837_170.parquet,197,Day,location_phx,sunny,17.411,72,85.28,1.584,6,53.3,0.0,0,0.0,0.0,18.995,low
6001094526418694294_4609_470_4629_470,6001094526418694294_4609_470_4629_470.parquet,198,Day,location_phx,sunny,84.773,115,100.0,4.091,8,100.0,0.965,1,96.46,0.0,89.828,high
6183008573786657189_5414_000_5434_000,6183008573786657189_5414_000_5434_000.parquet,199,Day,location_phx,sunny,23.864,39,100.0,0.0,0,0.0,0.0,0,0.0,0.0,23.864,low
662188686397364823_3248_800_3268_800,662188686397364823_3248_800_3268_800.parquet,199,Day,location_phx,sunny,98.935,139,100.0,3.729,8,100.0,0.0,0,0.0,0.0,102.663,high
6637600600814023975_2235_000_2255_000,6637600600814023975_2235_000_2255_000.parquet,199,Day,location_phx,sunny,69.668,88,100.0,2.94,8,97.49,0.0,0,0.0,0.0,72.608,high
6707256092020422936_2352_392_2372_392,6707256092020422936_2352_392_2372_392.parquet,198,Day,location_phx,sunny,17.338,38,100.0,0.359,1,35.86,0.758,2,65.66,0.0,18.455,low
7119831293178745002_1094_720_1114_720,7119831293178745002_1094_720_1114_720.parquet,198,Day,location_phx,sunny,19.687,26,100.0,5.253,9,100.0,0.0,0,0.0,0.0,24.939,low
7163140554846378423_2717_820_2737_820,7163140554846378423_2717_820_2737_820.parquet,199,Day,location_phx,sunny,35.99,81,100.0,4.352,11,100.0,0.0,0,0.0,0.0,40.342,medium
8133434654699693993_1162_020_1182_020,8133434654699693993_1162_020_1182_020.parquet,198,Day,location_phx,sunny,12.434,20,100.0,0.0,0,0.0,0.561,2,41.41,0.0,12.995,low
8331804655557290264_4351_740_4371_740,8331804655557290264_4351_740_4371_740.parquet,199,Day,location_phx,sunny,43.744,73,100.0,2.975,7,92.96,0.0,0,0.0,0.0,46.719,medium
8888517708810165484_1549_770_1569_770,8888517708810165484_1549_770_1569_770.parquet,199,Day,location_phx,sunny,3.286,10,85.43,0.749,2,53.27,0.0,0,0.0,0.0,4.035,low
8956556778987472864_3404_790_3424_790,8956556778987472864_3404_790_3424_790.parquet,197,Day,location_phx,sunny,126.919,142,100.0,22.168,36,100.0,0.0,0,0.0,0.0,149.086,high
9243656068381062947_1297_428_1317_428,9243656068381062947_1297_428_1317_428.parquet,198,Day,location_phx,sunny,40.126,102,100.0,35.46,77,100.0,0.823,3,66.16,0.0,76.409,high
9443948810903981522_6538_870_6558_870,9443948810903981522_6538_870_6558_870.parquet,199,Day,location_phx,sunny,0.497,2,45.73,5.191,9,91.46,0.759,3,62.31,0.0,6.447,low
1024360143612057520_3580_000_3600_000,1024360143612057520_3580_000_3600_000.parquet,199,Day,location_sf,sunny,53.307,73,100.0,33.116,64,100.0,1.035,3,70.35,0.0,87.457,high
10247954040621004675_2180_000_2200_000,10247954040621004675_2180_000_2200_000.parquet,198,Day,location_sf,sunny,24.03,40,100.0,0.258,2,23.74,0.0,0,0.0,0.0,24.288,low
10289507859301986274_4200_000_4220_000,10289507859301986274_4200_000_4220_000.parquet,198,Day,location_sf,sunny,87.535,136,100.0,60.04,85,100.0,2.899,7,97.98,0.0,150.475,high
10359308928573410754_720_000_740_000,10359308928573410754_720_000_740_000.parquet,199,Day,location_sf,sunny,25.819,35,100.0,5.573,9,100.0,0.0,0,0.0,0.0,31.392,medium
10868756386479184868_3000_000_3020_000,10868756386479184868_3000_000_3020_000.parquet,199,Day,location_sf,sunny,25.553,40,100.0,25.583,34,100.0,0.0,0,0.0,0.0,51.136,medium
12306251798468767010_560_000_580_000,12306251798468767010_560_000_580_000.parquet,198,Day,location_sf,sunny,12.672,20,100.0,0.747,3,57.07,0.0,0,0.0,0.0,13.419,low
12496433400137459534_120_000_140_000,12496433400137459534_120_000_140_000.parquet,197,Day,location_sf,sunny,58.964,139,100.0,22.736,37,100.0,0.954,2,71.57,0.0,82.655,high
12866817684252793621_480_000_500_000,12866817684252793621_480_000_500_000.parquet,199,Day,location_sf,sunny,88.442,106,100.0,13.97,20,100.0,0.166,1,16.58,0.0,102.578,high
12940710315541930162_2660_000_2680_000,12940710315541930162_2660_000_2680_000.parquet,198,Day,location_sf,sunny,59.172,70,100.0,3.253,4,100.0,0.0,0,0.0,0.0,62.424,medium
13299463771883949918_4240_000_4260_000,13299463771883949918_4240_000_4260_000.parquet,198,Day,location_sf,sunny,31.793,47,100.0,1.48,4,72.22,0.0,0,0.0,0.0,33.273,medium
13336883034283882790_7100_000_7120_000,13336883034283882790_7100_000_7120_000.parquet,199,Day,location_sf,sunny,86.211,131,100.0,0.0,0,0.0,0.0,0,0.0,0.0,86.211,high
13356997604177841771_3360_000_3380_000,13356997604177841771_3360_000_3380_000.parquet,198,Day,location_sf,sunny,37.328,75,100.0,39.515,55,100.0,2.263,3,100.0,0.0,79.106,high
1405149198253600237_160_000_180_000,1405149198253600237_160_000_180_000.parquet,197,Day,location_sf,sunny,91.848,118,100.0,4.132,7,100.0,0.0,0,0.0,0.0,95.98,high
14262448332225315249_1280_000_1300_000,14262448332225315249_1280_000_1300_000.parquet,199,Day,location_sf,sunny,56.161,108,100.0,22.176,41,100.0,0.181,1,18.09,0.0,78.518,high
14383152291533557785_240_000_260_000,14383152291533557785_240_000_260_000.parquet,199,Day,location_sf,sunny,58.95,103,100.0,3.281,10,92.96,0.146,1,14.57,0.0,62.377,medium
14739149465358076158_4740_000_4760_000,14739149465358076158_4740_000_4760_000.parquet,198,Day,location_sf,sunny,39.707,82,100.0,30.667,87,100.0,0.152,2,7.58,0.0,70.525,high
15224741240438106736_960_000_980_000,15224741240438106736_960_000_980_000.parquet,199,Day,location_sf,sunny,26.709,43,100.0,54.653,75,100.0,0.075,1,7.54,0.0,81.437,high
15611747084548773814_3740_000_3760_000,15611747084548773814_3740_000_3760_000.parquet,198,Day,location_sf,sunny,25.081,42,100.0,33.768,67,100.0,0.111,2,10.61,0.0,58.96,medium
16204463896543764114_5340_000_5360_000,16204463896543764114_5340_000_5360_000.parquet,198,Day,location_sf,sunny,10.672,17,100.0,0.318,2,25.25,0.313,1,31.31,0.0,11.303,low
16229547658178627464_380_000_400_000,16229547658178627464_380_000_400_000.parquet,197,Day,location_sf,sunny,77.32,193,100.0,22.056,43,100.0,0.0,0,0.0,0.0,99.376,high
17065833287841703_2980_000_3000_000,17065833287841703_2980_000_3000_000.parquet,199,Day,location_sf,sunny,54.201,69,100.0,1.92,3,100.0,0.0,0,0.0,0.0,56.121,medium
17135518413411879545_1480_000_1500_000,17135518413411879545_1480_000_1500_000.parquet,197,Day,location_sf,sunny,9.274,15,82.23,7.305,17,91.88,0.0,0,0.0,0.0,16.579,low
17152649515605309595_3440_000_3460_000,17152649515605309595_3440_000_3460_000.parquet,199,Day,location_sf,sunny,49.814,81,100.0,20.362,40,100.0,0.432,2,40.2,0.0,70.608,high
17244566492658384963_2540_000_2560_000,17244566492658384963_2540_000_2560_000.parquet,199,Day,location_sf,sunny,16.96,66,100.0,0.151,1,15.08,0.0,0,0.0,0.0,17.111,low
17539775446039009812_440_000_460_000,17539775446039009812_440_000_460_000.parquet,197,Day,location_sf,sunny,56.294,61,100.0,15.518,21,100.0,0.0,0,0.0,0.0,71.812,high
17612470202990834368_2800_000_2820_000,17612470202990834368_2800_000_2820_000.parquet,199,Day,location_sf,sunny,30.0,38,100.0,0.91,2,56.28,0.0,0,0.0,0.0,30.91,medium
17626999143001784258_2760_000_2780_000,17626999143001784258_2760_000_2780_000.parquet,198,Day,location_sf,sunny,44.359,54,100.0,27.222,33,100.0,0.136,1,13.64,0.0,71.717,high
17703234244970638241_220_000_240_000,17703234244970638241_220_000_240_000.parquet,198,Day,location_sf,sunny,15.04,31,100.0,0.0,0,0.0,0.0,0,0.0,0.0,15.04,low
17860546506509760757_6040_000_6060_000,17860546506509760757_6040_000_6060_000.parquet,199,Day,location_sf,sunny,26.839,38,100.0,24.899,38,100.0,0.01,1,1.01,0.0,51.749,medium
18331704533904883545_1560_000_1580_000,18331704533904883545_1560_000_1580_000.parquet,198,Day,location_sf,sunny,41.202,99,100.0,0.0,0,0.0,0.0,0,0.0,0.0,41.202,medium
