segment_id,component,cloud_uri,local_path,file_size_bytes,status,return_code,error_message
16213317953898915772_1597_170_1617_170,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/16213317953898915772_1597_170_1617_170.parquet,data\waymo\raw\validation\camera_calibration\final\16213317953898915772_1597_170_1617_170.parquet,8954,downloaded,0,
2736377008667623133_2676_410_2696_410,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/2736377008667623133_2676_410_2696_410.parquet,data\waymo\raw\validation\camera_image\final\2736377008667623133_2676_410_2696_410.parquet,406458058,downloaded,0,
2736377008667623133_2676_410_2696_410,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/2736377008667623133_2676_410_2696_410.parquet,data\waymo\raw\validation\camera_calibration\final\2736377008667623133_2676_410_2696_410.parquet,8949,downloaded,0,
3039251927598134881_1240_610_1260_610,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/3039251927598134881_1240_610_1260_610.parquet,data\waymo\raw\validation\camera_image\final\3039251927598134881_1240_610_1260_610.parquet,357712496,downloaded,0,
3039251927598134881_1240_610_1260_610,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/3039251927598134881_1240_610_1260_610.parquet,data\waymo\raw\validation\camera_calibration\final\3039251927598134881_1240_610_1260_610.parquet,8949,downloaded,0,
3126522626440597519_806_440_826_440,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/3126522626440597519_806_440_826_440.parquet,data\waymo\raw\validation\camera_image\final\3126522626440597519_806_440_826_440.parquet,355548707,downloaded,0,
3126522626440597519_806_440_826_440,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/3126522626440597519_806_440_826_440.parquet,data\waymo\raw\validation\camera_calibration\final\3126522626440597519_806_440_826_440.parquet,8939,downloaded,0,
2105808889850693535_2295_720_2315_720,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/2105808889850693535_2295_720_2315_720.parquet,data\waymo\raw\validation\camera_image\final\2105808889850693535_2295_720_2315_720.parquet,365648252,downloaded,0,
2105808889850693535_2295_720_2315_720,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/2105808889850693535_2295_720_2315_720.parquet,data\waymo\raw\validation\camera_calibration\final\2105808889850693535_2295_720_2315_720.parquet,8949,downloaded,0,
10289507859301986274_4200_000_4220_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/10289507859301986274_4200_000_4220_000.parquet,data\waymo\raw\validation\camera_image\final\10289507859301986274_4200_000_4220_000.parquet,352633720,downloaded,0,
10289507859301986274_4200_000_4220_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/10289507859301986274_4200_000_4220_000.parquet,data\waymo\raw\validation\camera_calibration\final\10289507859301986274_4200_000_4220_000.parquet,8959,downloaded,0,
13356997604177841771_3360_000_3380_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/13356997604177841771_3360_000_3380_000.parquet,data\waymo\raw\validation\camera_image\final\13356997604177841771_3360_000_3380_000.parquet,330924461,downloaded,0,
13356997604177841771_3360_000_3380_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/13356997604177841771_3360_000_3380_000.parquet,data\waymo\raw\validation\camera_calibration\final\13356997604177841771_3360_000_3380_000.parquet,8953,downloaded,0,
30779396576054160_1880_000_1900_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/30779396576054160_1880_000_1900_000.parquet,data\waymo\raw\validation\camera_image\final\30779396576054160_1880_000_1900_000.parquet,342178390,downloaded,0,
30779396576054160_1880_000_1900_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/30779396576054160_1880_000_1900_000.parquet,data\waymo\raw\validation\camera_calibration\final\30779396576054160_1880_000_1900_000.parquet,8939,downloaded,0,
3577352947946244999_3980_000_4000_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/3577352947946244999_3980_000_4000_000.parquet,data\waymo\raw\validation\camera_image\final\3577352947946244999_3980_000_4000_000.parquet,362515719,downloaded,0,
3577352947946244999_3980_000_4000_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/3577352947946244999_3980_000_4000_000.parquet,data\waymo\raw\validation\camera_calibration\final\3577352947946244999_3980_000_4000_000.parquet,8954,downloaded,0,
4690718861228194910_1980_000_2000_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/4690718861228194910_1980_000_2000_000.parquet,data\waymo\raw\validation\camera_image\final\4690718861228194910_1980_000_2000_000.parquet,379073821,downloaded,0,
4690718861228194910_1980_000_2000_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/4690718861228194910_1980_000_2000_000.parquet,data\waymo\raw\validation\camera_calibration\final\4690718861228194910_1980_000_2000_000.parquet,8956,downloaded,0,
8506432817378693815_4860_000_4880_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/8506432817378693815_4860_000_4880_000.parquet,data\waymo\raw\validation\camera_image\final\8506432817378693815_4860_000_4880_000.parquet,363942960,downloaded,0,
8506432817378693815_4860_000_4880_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/8506432817378693815_4860_000_4880_000.parquet,data\waymo\raw\validation\camera_calibration\final\8506432817378693815_4860_000_4880_000.parquet,8947,downloaded,0,
933621182106051783_4160_000_4180_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/933621182106051783_4160_000_4180_000.parquet,data\waymo\raw\validation\camera_image\final\933621182106051783_4160_000_4180_000.parquet,310122535,downloaded,0,
933621182106051783_4160_000_4180_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/933621182106051783_4160_000_4180_000.parquet,data\waymo\raw\validation\camera_calibration\final\933621182106051783_4160_000_4180_000.parquet,8952,downloaded,0,
10335539493577748957_1372_870_1392_870,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/10335539493577748957_1372_870_1392_870.parquet,data\waymo\raw\validation\camera_image\final\10335539493577748957_1372_870_1392_870.parquet,382908999,downloaded,0,
10335539493577748957_1372_870_1392_870,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/10335539493577748957_1372_870_1392_870.parquet,data\waymo\raw\validation\camera_calibration\final\10335539493577748957_1372_870_1392_870.parquet,8957,downloaded,0,
14107757919671295130_3546_370_3566_370,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/14107757919671295130_3546_370_3566_370.parquet,data\waymo\raw\validation\camera_image\final\14107757919671295130_3546_370_3566_370.parquet,398234017,downloaded,0,
14107757919671295130_3546_370_3566_370,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/14107757919671295130_3546_370_3566_370.parquet,data\waymo\raw\validation\camera_calibration\final\14107757919671295130_3546_370_3566_370.parquet,8955,downloaded,0,
8679184381783013073_7740_000_7760_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/8679184381783013073_7740_000_7760_000.parquet,data\waymo\raw\validation\camera_image\final\8679184381783013073_7740_000_7760_000.parquet,467963225,downloaded,0,
8679184381783013073_7740_000_7760_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/8679184381783013073_7740_000_7760_000.parquet,data\waymo\raw\validation\camera_calibration\final\8679184381783013073_7740_000_7760_000.parquet,8949,downloaded,0,
11660186733224028707_420_000_440_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/11660186733224028707_420_000_440_000.parquet,data\waymo\raw\validation\camera_image\final\11660186733224028707_420_000_440_000.parquet,406399763,downloaded,0,
11660186733224028707_420_000_440_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/11660186733224028707_420_000_440_000.parquet,data\waymo\raw\validation\camera_calibration\final\11660186733224028707_420_000_440_000.parquet,8943,downloaded,0,
14300007604205869133_1160_000_1180_000,camera_image,gs://waymo_open_dataset_v_2_0_1/validation/camera_image/14300007604205869133_1160_000_1180_000.parquet,data\waymo\raw\validation\camera_image\final\14300007604205869133_1160_000_1180_000.parquet,466443120,downloaded,0,
14300007604205869133_1160_000_1180_000,camera_calibration,gs://waymo_open_dataset_v_2_0_1/validation/camera_calibration/14300007604205869133_1160_000_1180_000.parquet,data\waymo\raw\validation\camera_calibration\final\14300007604205869133_1160_000_1180_000.parquet,8961,downloaded,0,
