final_segment_number,segment_id,time_of_day,weather,location,density_group,selection_reason,candidate_selection_seed,source_camera_box_file,source_frame_count,front_labeled_frame_count,front_target_frame_count,front_target_frame_coverage_percent,vehicle_box_count,vehicle_frame_count,vehicle_frame_coverage_percent,pedestrian_box_count,pedestrian_frame_count,pedestrian_frame_coverage_percent,cyclist_box_count,cyclist_frame_count,cyclist_frame_coverage_percent,ignored_sign_box_count,total_target_box_count,average_target_boxes_per_source_frame,maximum_target_boxes_in_one_frame,small_box_count,medium_box_count,large_box_count,mean_box_area,median_box_area,level_1_box_count,level_2_box_count,unspecified_difficulty_box_count,contains_front_vehicle,contains_front_pedestrian,contains_front_cyclist,selection_score,selection_profile,selection_frozen_before_model_evaluation
11,3039251927598134881_1240_610_1260_610,Day,sunny,location_phx,low,day|location_phx|density_low|front_pedestrian_coverage|small_object_coverage,42,3039251927598134881_1240_610_1260_610.parquet,198,190,190,95.96,1228,190,95.96,663,89,44.95,0,0,0.0,0,1891,9.551,23,875,580,436,4837.271,842.489,0,303,1588,True,True,False,3.5769592616511297,preferred,True
12,3126522626440597519_806_440_826_440,Day,sunny,location_phx,low,day|location_phx|density_low|front_cyclist_coverage|small_object_coverage,42,3126522626440597519_806_440_826_440.parquet,198,198,198,100.0,1809,198,100.0,0,0,0.0,617,178,89.9,0,2426,12.253,15,1469,774,183,1483.148,558.468,0,702,1724,True,False,True,6.243768351635111,preferred,True
13,2105808889850693535_2295_720_2315_720,Day,sunny,location_phx,medium,day|location_phx|density_medium|front_pedestrian_coverage|small_object_coverage,42,2105808889850693535_2295_720_2315_720.parquet,198,198,198,100.0,2282,198,100.0,281,165,83.33,0,0,0.0,0,2563,12.944,32,1312,570,681,3542.88,694.096,0,523,2040,True,True,False,3.6170638962184745,preferred,True
14,10289507859301986274_4200_000_4220_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,10289507859301986274_4200_000_4220_000.parquet,198,198,198,100.0,4607,198,100.0,4138,198,100.0,173,119,60.1,0,8918,45.04,65,3803,2787,2328,12252.97,939.822,0,488,8430,True,True,True,9.136701219397258,preferred,True
15,13356997604177841771_3360_000_3380_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,13356997604177841771_3360_000_3380_000.parquet,198,198,198,100.0,5029,198,100.0,2835,198,100.0,260,198,100.0,0,8124,41.03,53,3961,2230,1933,5044.095,789.834,0,1978,6146,True,True,True,9.165354871289956,preferred,True
16,30779396576054160_1880_000_1900_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,30779396576054160_1880_000_1900_000.parquet,198,198,198,100.0,4046,198,100.0,4828,198,100.0,198,198,100.0,0,9072,45.818,53,2427,1907,4738,13555.313,3475.428,0,0,9072,True,True,True,9.18705571874468,preferred,True
17,3577352947946244999_3980_000_4000_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,3577352947946244999_3980_000_4000_000.parquet,199,199,199,100.0,3062,199,100.0,4139,199,100.0,116,116,58.29,0,7317,36.769,44,2005,2523,2789,9716.248,2029.59,0,2079,5238,True,True,True,9.006445929735854,preferred,True
18,4690718861228194910_1980_000_2000_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,4690718861228194910_1980_000_2000_000.parquet,199,199,199,100.0,6526,199,100.0,912,188,94.47,78,78,39.2,0,7516,37.769,46,3360,2594,1562,10535.681,865.626,0,5658,1858,True,True,True,8.82500135796035,preferred,True
19,8506432817378693815_4860_000_4880_000,Day,sunny,location_sf,high,day|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,8506432817378693815_4860_000_4880_000.parquet,198,198,198,100.0,3298,198,100.0,6193,198,100.0,286,198,100.0,0,9777,49.379,65,4057,3585,2135,5955.582,904.719,0,2135,7642,True,True,True,9.254574111337085,preferred,True
20,933621182106051783_4160_000_4180_000,Day,sunny,location_sf,medium,day|location_sf|density_medium|front_pedestrian_coverage|small_object_coverage,42,933621182106051783_4160_000_4180_000.parquet,198,198,198,100.0,5931,198,100.0,580,198,100.0,0,0,0.0,0,6511,32.884,49,2529,1782,2200,13320.319,1183.953,0,4495,2016,True,True,False,3.9252221971156365,preferred,True
21,10335539493577748957_1372_870_1392_870,Night,sunny,location_phx,low,night|location_phx|density_low|front_pedestrian_coverage|small_object_coverage,42,10335539493577748957_1372_870_1392_870.parquet,198,198,198,100.0,2792,198,100.0,245,91,45.96,0,0,0.0,0,3037,15.338,23,937,1155,945,11965.491,1453.289,0,1938,1099,True,True,False,3.652277999232181,preferred,True
22,14107757919671295130_3546_370_3566_370,Night,sunny,location_phx,medium,night|location_phx|density_medium|front_pedestrian_coverage|small_object_coverage,42,14107757919671295130_3546_370_3566_370.parquet,194,194,194,100.0,3327,194,100.0,83,48,24.74,0,0,0.0,0,3410,17.577,23,1525,1331,554,2092.255,873.604,0,2080,1330,True,True,False,3.55472619171714,preferred,True
23,8679184381783013073_7740_000_7760_000,Night,sunny,location_sf,high,night|location_sf|density_high|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,8679184381783013073_7740_000_7760_000.parquet,198,198,198,100.0,5211,198,100.0,1607,198,100.0,153,153,77.27,0,6971,35.207,38,1332,2579,3060,11517.187,2551.009,0,3648,3323,True,True,True,8.993781962857359,preferred,True
24,11660186733224028707_420_000_440_000,Night,sunny,location_sf,medium,night|location_sf|density_medium|front_pedestrian_coverage|small_object_coverage,42,11660186733224028707_420_000_440_000.parquet,197,197,197,100.0,3847,197,100.0,597,197,100.0,0,0,0.0,0,4444,22.558,36,653,1637,2154,14511.673,3036.073,0,1737,2707,True,True,False,3.815753894633294,preferred,True
25,14300007604205869133_1160_000_1180_000,Night,sunny,location_sf,medium,night|location_sf|density_medium|front_pedestrian_coverage|front_cyclist_coverage|small_object_coverage,42,14300007604205869133_1160_000_1180_000.parquet,199,199,199,100.0,5562,199,100.0,240,179,89.95,187,133,66.83,0,5989,30.095,36,2202,1861,1926,9396.533,1455.033,0,5655,334,True,True,True,8.841410010534902,preferred,True
