image_id,vehicle_count,pedestrian_count,cyclist_count,target_count,ignored_count,original_annotation_count,contains_vehicle,contains_pedestrian,contains_cyclist,presence_signature,density_group,stratification_group,split
000028,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000029,1,0,0,1,3,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000030,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000031,6,0,0,6,3,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000032,10,0,0,10,2,12,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000033,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000034,2,0,0,2,4,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000035,3,1,1,5,6,11,True,True,True,V1_P1_C1,medium,V1_P1_C1__medium,val
000036,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000037,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000038,12,0,0,12,1,13,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000039,6,0,0,6,2,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000040,1,1,0,2,1,3,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000041,1,0,0,1,4,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000042,1,0,0,1,5,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000043,0,4,0,4,5,9,False,True,False,V0_P1_C0,medium,V0_P1_C0__medium,train
000044,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000045,6,0,0,6,6,12,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000046,6,0,0,6,1,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000047,9,0,0,9,0,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000048,0,3,1,4,6,10,False,True,True,V0_P1_C1,medium,V0_P1_C1__medium,train
000049,16,2,0,18,1,19,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000050,5,0,0,5,0,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000051,1,0,1,2,9,11,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000052,6,0,0,6,3,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000053,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000054,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000055,5,0,0,5,2,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000056,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000057,3,0,0,3,2,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000058,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000059,5,0,0,5,1,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000060,3,0,1,4,5,9,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,val
000061,5,0,0,5,3,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000062,4,0,1,5,1,6,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000063,3,1,0,4,0,4,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000064,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000065,0,6,0,6,3,9,False,True,False,V0_P1_C0,medium,V0_P1_C0__medium,val
000066,2,0,0,2,3,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000067,6,0,0,6,3,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000068,10,0,2,12,0,12,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000069,2,0,0,2,3,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000070,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000071,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000072,3,0,0,3,1,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000073,0,5,2,7,1,8,False,True,True,V0_P1_C1,high,V0_P1_C1__high,train
000074,0,3,0,3,2,5,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000075,5,0,0,5,2,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000076,0,8,1,9,1,10,False,True,True,V0_P1_C1,high,V0_P1_C1__high,train
000077,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000078,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000079,6,0,0,6,4,10,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000080,4,0,0,4,1,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000081,2,0,0,2,5,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000082,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000083,6,0,0,6,0,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000084,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000085,2,1,1,4,2,6,True,True,True,V1_P1_C1,medium,V1_P1_C1__medium,train
000086,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000087,5,1,0,6,5,11,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000088,1,0,0,1,4,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000089,6,0,0,6,0,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000090,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000091,1,0,1,2,4,6,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000092,6,0,0,6,1,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000093,6,0,0,6,2,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000094,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000095,15,0,0,15,0,15,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000096,5,0,0,5,4,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000097,2,0,0,2,6,8,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000098,5,0,0,5,3,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000099,10,0,0,10,4,14,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000100,2,1,1,4,1,5,True,True,True,V1_P1_C1,medium,V1_P1_C1__medium,train
000101,3,0,0,3,4,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000102,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000103,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000104,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000105,1,0,1,2,5,7,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000106,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000107,7,0,0,7,3,10,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000108,1,0,1,2,2,4,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000109,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000110,12,0,0,12,0,12,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000111,14,0,0,14,0,14,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000112,10,0,0,10,1,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000113,15,0,0,15,3,18,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000114,10,1,1,12,2,14,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000115,1,0,0,1,4,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000116,4,0,0,4,1,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000117,8,0,0,8,3,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000118,0,5,0,5,2,7,False,True,False,V0_P1_C0,medium,V0_P1_C0__medium,train
000119,4,0,1,5,1,6,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000120,10,0,0,10,1,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000121,4,0,0,4,8,12,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000122,1,0,1,2,2,4,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000123,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000124,2,2,1,5,5,10,True,True,True,V1_P1_C1,medium,V1_P1_C1__medium,val
000125,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000126,2,0,0,2,2,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000127,9,1,1,11,3,14,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000128,2,0,0,2,4,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000129,6,0,0,6,4,10,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000130,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000131,7,0,0,7,4,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000132,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000133,1,0,0,1,3,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000134,3,7,5,15,2,17,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000135,8,0,0,8,7,15,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000136,6,0,0,6,2,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000137,5,0,0,5,5,10,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000138,7,0,0,7,0,7,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000139,3,0,0,3,5,8,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000140,4,0,0,4,0,4,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000141,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000142,9,4,1,14,0,14,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000143,4,0,0,4,5,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000144,3,4,0,7,2,9,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000145,4,9,2,15,2,17,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000146,16,1,0,17,1,18,True,True,False,V1_P1_C0,high,V1_P1_C0__high,val
000147,1,1,0,2,2,4,True,True,False,V1_P1_C0,low,V1_P1_C0__low,val
000148,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000149,10,1,0,11,0,11,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000150,3,0,1,4,2,6,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000151,2,1,1,4,3,7,True,True,True,V1_P1_C1,medium,V1_P1_C1__medium,train
000152,7,0,0,7,4,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000153,1,3,0,4,0,4,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000154,7,1,1,9,1,10,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000155,4,0,0,4,7,11,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000156,1,1,0,2,0,2,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000157,7,0,1,8,7,15,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000158,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000159,8,0,0,8,3,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000160,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000161,13,0,0,13,4,17,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000162,4,0,1,5,4,9,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000163,7,0,0,7,5,12,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000164,3,0,1,4,3,7,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000165,10,0,0,10,1,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000166,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000167,0,1,2,3,5,8,False,True,True,V0_P1_C1,low,V0_P1_C1__low,train
000168,5,0,0,5,1,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000169,15,0,1,16,4,20,True,False,True,V1_P0_C1,high,V1_P0_C1__high,val
000170,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000171,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000172,9,0,0,9,0,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000173,7,0,0,7,3,10,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000174,2,0,0,2,3,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000175,3,0,0,3,1,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000176,5,0,0,5,2,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000177,2,4,2,8,2,10,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000178,8,0,0,8,1,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000179,1,1,0,2,3,5,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000180,2,0,0,2,2,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000181,13,0,0,13,1,14,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000182,3,0,0,3,2,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000183,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000184,5,0,0,5,2,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000185,6,0,0,6,1,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000186,8,1,0,9,1,10,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000187,0,1,0,1,2,3,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000188,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000189,0,4,1,5,3,8,False,True,True,V0_P1_C1,medium,V0_P1_C1__medium,train
000190,2,2,0,4,1,5,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000191,10,0,0,10,1,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000192,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000193,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000194,2,1,0,3,0,3,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000195,0,1,1,2,5,7,False,True,True,V0_P1_C1,low,V0_P1_C1__low,train
000196,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000197,6,0,0,6,7,13,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000198,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000199,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000200,2,1,0,3,1,4,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000201,8,2,2,12,1,13,True,True,True,V1_P1_C1,high,V1_P1_C1__high,val
000202,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000203,2,0,1,3,2,5,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000204,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000205,2,0,0,2,4,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000206,2,2,0,4,0,4,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,val
000207,3,1,0,4,6,10,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000208,2,1,0,3,0,3,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000209,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,val
000210,6,0,0,6,3,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000211,5,0,3,8,3,11,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000212,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000213,10,0,0,10,4,14,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000214,3,0,3,6,4,10,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,val
000215,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000216,5,0,0,5,2,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000217,6,0,2,8,0,8,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000218,7,0,0,7,5,12,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000219,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000220,2,0,0,2,6,8,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000221,2,1,0,3,1,4,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000222,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000223,3,1,0,4,2,6,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,val
000224,1,0,0,1,5,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000225,5,0,0,5,1,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000226,9,0,0,9,2,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000227,6,0,0,6,0,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,val
000228,4,1,0,5,5,10,True,True,False,V1_P1_C0,medium,V1_P1_C0__medium,train
000229,1,0,0,1,5,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000230,3,0,0,3,3,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000231,5,0,0,5,3,8,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000232,1,0,1,2,4,6,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000233,2,0,0,2,2,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000234,7,0,0,7,6,13,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000235,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000236,9,0,0,9,0,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000237,3,0,0,3,3,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000238,3,0,0,3,4,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000239,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000240,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000241,2,0,0,2,1,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000242,3,0,0,3,2,5,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000243,5,0,0,5,6,11,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000244,10,0,0,10,1,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000245,4,0,1,5,0,5,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,train
000246,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000247,1,0,0,1,0,1,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000248,9,0,0,9,2,11,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000249,8,0,0,8,1,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000250,3,0,0,3,1,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000251,0,2,0,2,4,6,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000252,4,0,0,4,0,4,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000253,3,0,0,3,1,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000254,9,0,2,11,0,11,True,False,True,V1_P0_C1,high,V1_P0_C1__high,train
000255,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000256,3,0,0,3,3,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000257,2,0,0,2,4,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000258,5,0,0,5,0,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000259,4,0,0,4,1,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000260,2,0,0,2,2,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000261,4,0,0,4,3,7,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000262,7,0,0,7,2,9,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000263,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000264,16,1,0,17,1,18,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000265,0,2,3,5,7,12,False,True,True,V0_P1_C1,medium,V0_P1_C1__medium,train
000266,7,2,2,11,3,14,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000267,3,0,0,3,3,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000268,2,0,1,3,3,6,True,False,True,V1_P0_C1,low,V1_P0_C1__low,train
000269,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000270,3,0,0,3,4,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000271,4,0,1,5,2,7,True,False,True,V1_P0_C1,medium,V1_P0_C1__medium,val
000272,1,0,0,1,2,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000273,13,1,0,14,3,17,True,True,False,V1_P1_C0,high,V1_P1_C0__high,train
000274,12,1,1,14,2,16,True,True,True,V1_P1_C1,high,V1_P1_C1__high,val
000275,6,3,0,9,1,10,True,True,False,V1_P1_C0,high,V1_P1_C0__high,val
000276,5,0,0,5,0,5,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000277,1,8,1,10,7,17,True,True,True,V1_P1_C1,high,V1_P1_C1__high,train
000278,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000279,7,0,0,7,1,8,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000280,2,0,0,2,0,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000281,3,0,0,3,4,7,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000282,2,0,0,2,2,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000283,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000284,9,0,0,9,1,10,True,False,False,V1_P0_C0,high,V1_P0_C0__high,train
000285,14,0,0,14,0,14,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000286,11,1,0,12,1,13,True,True,False,V1_P1_C0,high,V1_P1_C0__high,val
000287,0,2,0,2,2,4,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000288,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000289,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000290,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000291,4,0,0,4,2,6,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000292,1,1,0,2,2,4,True,True,False,V1_P1_C0,low,V1_P1_C0__low,train
000293,3,0,0,3,0,3,True,False,False,V1_P0_C0,low,V1_P0_C0__low,val
000294,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,train
000295,2,0,1,3,5,8,True,False,True,V1_P0_C1,low,V1_P0_C1__low,val
000296,5,0,0,5,4,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000297,6,0,0,6,3,9,True,False,False,V1_P0_C0,medium,V1_P0_C0__medium,train
000298,0,1,0,1,0,1,False,True,False,V0_P1_C0,low,V0_P1_C0__low,val
000299,1,0,0,1,1,2,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000300,2,0,0,2,4,6,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
000301,7,0,0,7,0,7,True,False,False,V1_P0_C0,high,V1_P0_C0__high,val
000302,3,0,0,3,1,4,True,False,False,V1_P0_C0,low,V1_P0_C0__low,train
