segment_id,time_of_day,weather,location,density_group,selection_reason,candidate_selection_seed,source_camera_box_file,source_frame_count,front_labeled_frame_count,front_target_frame_count,front_target_frame_coverage_percent,vehicle_box_count,vehicle_frame_count,vehicle_frame_coverage_percent,pedestrian_box_count,pedestrian_frame_count,pedestrian_frame_coverage_percent,cyclist_box_count,cyclist_frame_count,cyclist_frame_coverage_percent,ignored_sign_box_count,total_target_box_count,average_target_boxes_per_source_frame,maximum_target_boxes_in_one_frame,small_box_count,medium_box_count,large_box_count,mean_box_area,median_box_area,level_1_box_count,level_2_box_count,unspecified_difficulty_box_count,contains_front_vehicle,contains_front_pedestrian,contains_front_cyclist
14081240615915270380_4399_000_4419_000,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,14081240615915270380_4399_000_4419_000.parquet,198,198,198,100.0,1166,198,100.0,0,0,0.0,0,0,0.0,0,1166,5.889,8,606,299,261,10908.136,692.986,0,460,706,True,False,False
15488266120477489949_3162_920_3182_920,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,15488266120477489949_3162_920_3182_920.parquet,198,198,198,100.0,1670,198,100.0,616,155,78.28,0,0,0.0,0,2286,11.545,23,1342,740,204,2008.559,569.638,0,1400,886,True,True,False
9041488218266405018_6454_030_6474_030,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,9041488218266405018_6454_030_6474_030.parquet,198,198,198,100.0,1542,198,100.0,319,159,80.3,182,92,46.46,0,2043,10.318,16,915,865,263,2513.16,877.593,0,1671,372,True,True,True
9265793588137545201_2981_960_3001_960,Dawn/Dusk,sunny,location_phx,medium,dawn_dusk_condition,42,9265793588137545201_2981_960_3001_960.parquet,198,193,193,97.47,1640,193,97.47,733,177,89.39,0,0,0.0,0,2373,11.985,20,780,980,613,9139.27,1357.078,0,65,2308,True,True,False
17694030326265859208_2340_000_2360_000,Dawn/Dusk,sunny,location_sf,high,dawn_dusk_condition,42,17694030326265859208_2340_000_2360_000.parquet,192,192,192,100.0,7331,192,100.0,2314,192,100.0,31,31,16.15,0,9676,50.396,60,4826,2565,2285,10852.429,748.784,0,5060,4616,True,True,True
17791493328130181905_1480_000_1500_000,Dawn/Dusk,sunny,location_sf,high,cyclist_rich|dawn_dusk_condition|pedestrian_rich,42,17791493328130181905_1480_000_1500_000.parquet,196,196,196,100.0,2460,196,100.0,3244,196,100.0,476,196,100.0,0,6180,31.531,40,632,2274,3274,5620.185,3412.756,0,6170,10,True,True,True
5772016415301528777_1400_000_1420_000,Dawn/Dusk,sunny,location_sf,high,dawn_dusk_condition,42,5772016415301528777_1400_000_1420_000.parquet,198,198,198,100.0,6989,198,100.0,733,198,100.0,0,0,0.0,0,7722,39.0,44,2392,2752,2578,9952.138,1456.804,0,0,7722,True,True,False
9114112687541091312_1100_000_1120_000,Dawn/Dusk,sunny,location_sf,high,cyclist_rich|dawn_dusk_condition|pedestrian_rich,42,9114112687541091312_1100_000_1120_000.parquet,197,197,197,100.0,2615,197,100.0,5462,197,100.0,557,197,100.0,0,8634,43.827,50,4693,2928,1013,1800.005,685.847,0,3993,4641,True,True,True
9579041874842301407_1300_000_1320_000,Dawn/Dusk,sunny,location_sf,high,dawn_dusk_condition,42,9579041874842301407_1300_000_1320_000.parquet,199,199,199,100.0,6896,199,100.0,1835,199,100.0,0,0,0.0,0,8731,43.874,47,1543,3001,4187,8303.548,2919.991,0,6177,2554,True,True,False
1331771191699435763_440_000_460_000,Dawn/Dusk,sunny,location_sf,low,dawn_dusk_condition,42,1331771191699435763_440_000_460_000.parquet,198,169,169,85.35,1335,169,85.35,15,15,7.58,0,0,0.0,0,1350,6.818,14,12,250,1088,50124.709,12921.959,0,0,1350,True,True,False
12657584952502228282_3940_000_3960_000,Dawn/Dusk,sunny,location_sf,medium,dawn_dusk_condition,42,12657584952502228282_3940_000_3960_000.parquet,198,198,198,100.0,6086,198,100.0,305,159,80.3,7,7,3.54,0,6398,32.313,43,1157,2388,2853,16151.808,2553.97,0,0,6398,True,True,True
14624061243736004421_1840_000_1860_000,Dawn/Dusk,sunny,location_sf,medium,dawn_dusk_condition,42,14624061243736004421_1840_000_1860_000.parquet,199,199,199,100.0,3908,199,100.0,2464,199,100.0,0,0,0.0,0,6372,32.02,36,1754,2265,2353,20618.55,2363.414,0,3536,2836,True,True,False
4246537812751004276_1560_000_1580_000,Dawn/Dusk,sunny,location_sf,medium,dawn_dusk_condition,42,4246537812751004276_1560_000_1580_000.parquet,199,199,199,100.0,6624,199,100.0,0,0,0.0,0,0,0.0,0,6624,33.286,37,1978,2859,1787,13526.777,1428.005,0,9,6615,True,False,False
6324079979569135086_2372_300_2392_300,Day,sunny,location_other,high,day_location_density_balance,42,6324079979569135086_2372_300_2392_300.parquet,197,197,197,100.0,4823,197,100.0,419,188,95.43,213,85,43.15,0,5455,27.69,38,2048,1692,1715,7820.484,1431.274,0,704,4751,True,True,True
7988627150403732100_1487_540_1507_540,Day,sunny,location_other,high,pedestrian_rich,42,7988627150403732100_1487_540_1507_540.parquet,199,199,199,100.0,3736,199,100.0,5501,199,100.0,0,0,0.0,0,9237,46.417,54,1980,2975,4282,7656.179,2831.032,0,1471,7766,True,True,False
12358364923781697038_2232_990_2252_990,Day,sunny,location_other,low,day_location_density_balance,42,12358364923781697038_2232_990_2252_990.parquet,199,168,168,84.42,372,168,84.42,0,0,0.0,12,12,6.03,0,384,1.93,5,14,38,332,57409.561,23239.661,0,11,373,True,False,True
14687328292438466674_892_000_912_000,Day,sunny,location_other,low,day_location_density_balance,42,14687328292438466674_892_000_912_000.parquet,198,198,198,100.0,455,198,100.0,0,0,0.0,0,0,0.0,0,455,2.298,4,267,26,162,85227.175,387.225,0,0,455,True,False,False
8398516118967750070_3958_000_3978_000,Day,sunny,location_other,medium,day_location_density_balance,42,8398516118967750070_3958_000_3978_000.parquet,199,199,199,100.0,935,199,100.0,0,0,0.0,0,0,0.0,0,935,4.698,6,295,203,437,11171.662,2386.782,0,30,905,True,False,False
16213317953898915772_1597_170_1617_170,Day,sunny,location_phx,high,day_location_density_balance,42,16213317953898915772_1597_170_1617_170.parquet,197,197,197,100.0,4899,197,100.0,620,146,74.11,148,148,75.13,0,5667,28.766,41,2334,1545,1788,10620.963,990.88,0,3479,2188,True,True,True
4423389401016162461_4235_900_4255_900,Day,sunny,location_phx,high,day_location_density_balance,42,4423389401016162461_4235_900_4255_900.parquet,198,198,198,100.0,5084,198,100.0,773,145,73.23,0,0,0.0,0,5857,29.581,53,3250,1457,1150,2223.225,624.687,0,0,5857,True,True,False
6001094526418694294_4609_470_4629_470,Day,sunny,location_phx,high,cyclist_rich,42,6001094526418694294_4609_470_4629_470.parquet,198,198,198,100.0,5317,198,100.0,0,0,0.0,0,0,0.0,0,5317,26.854,33,3026,1061,1230,19101.342,549.692,0,1796,3521,True,False,False
11616035176233595745_3548_820_3568_820,Day,sunny,location_phx,low,day_location_density_balance,42,11616035176233595745_3548_820_3568_820.parquet,199,199,199,100.0,1206,199,100.0,81,81,40.7,0,0,0.0,0,1287,6.467,10,930,132,225,2361.771,229.371,0,9,1278,True,True,False
15959580576639476066_5087_580_5107_580,Day,sunny,location_phx,low,day_location_density_balance,42,15959580576639476066_5087_580_5107_580.parquet,199,199,199,100.0,810,199,100.0,376,157,78.89,0,0,0.0,0,1186,5.96,11,114,510,562,8001.814,3003.562,0,79,1107,True,True,False
2736377008667623133_2676_410_2696_410,Day,sunny,location_phx,low,cyclist_rich,42,2736377008667623133_2676_410_2696_410.parquet,197,186,186,94.42,456,151,76.65,292,131,66.5,127,127,64.47,0,875,4.442,8,144,362,369,5728.289,2533.053,0,0,875,True,True,True
3039251927598134881_1240_610_1260_610,Day,sunny,location_phx,low,day_location_density_balance,42,3039251927598134881_1240_610_1260_610.parquet,198,190,190,95.96,1228,190,95.96,663,89,44.95,0,0,0.0,0,1891,9.551,23,875,580,436,4837.271,842.489,0,303,1588,True,True,False
3126522626440597519_806_440_826_440,Day,sunny,location_phx,low,cyclist_rich,42,3126522626440597519_806_440_826_440.parquet,198,198,198,100.0,1809,198,100.0,0,0,0.0,617,178,89.9,0,2426,12.253,15,1469,774,183,1483.148,558.468,0,702,1724,True,False,True
2105808889850693535_2295_720_2315_720,Day,sunny,location_phx,medium,day_location_density_balance,42,2105808889850693535_2295_720_2315_720.parquet,198,198,198,100.0,2282,198,100.0,281,165,83.33,0,0,0.0,0,2563,12.944,32,1312,570,681,3542.88,694.096,0,523,2040,True,True,False
10289507859301986274_4200_000_4220_000,Day,sunny,location_sf,high,cyclist_rich|pedestrian_rich,42,10289507859301986274_4200_000_4220_000.parquet,198,198,198,100.0,4607,198,100.0,4138,198,100.0,173,119,60.1,0,8918,45.04,65,3803,2787,2328,12252.97,939.822,0,488,8430,True,True,True
13356997604177841771_3360_000_3380_000,Day,sunny,location_sf,high,cyclist_rich,42,13356997604177841771_3360_000_3380_000.parquet,198,198,198,100.0,5029,198,100.0,2835,198,100.0,260,198,100.0,0,8124,41.03,53,3961,2230,1933,5044.095,789.834,0,1978,6146,True,True,True
15224741240438106736_960_000_980_000,Day,sunny,location_sf,high,pedestrian_rich,42,15224741240438106736_960_000_980_000.parquet,199,199,199,100.0,4504,199,100.0,2839,199,100.0,0,0,0.0,0,7343,36.899,43,3278,1428,2637,6205.86,1236.608,0,4365,2978,True,True,False
30779396576054160_1880_000_1900_000,Day,sunny,location_sf,high,cyclist_rich|pedestrian_rich,42,30779396576054160_1880_000_1900_000.parquet,198,198,198,100.0,4046,198,100.0,4828,198,100.0,198,198,100.0,0,9072,45.818,53,2427,1907,4738,13555.313,3475.428,0,0,9072,True,True,True
3577352947946244999_3980_000_4000_000,Day,sunny,location_sf,high,cyclist_rich,42,3577352947946244999_3980_000_4000_000.parquet,199,199,199,100.0,3062,199,100.0,4139,199,100.0,116,116,58.29,0,7317,36.769,44,2005,2523,2789,9716.248,2029.59,0,2079,5238,True,True,True
4690718861228194910_1980_000_2000_000,Day,sunny,location_sf,high,day_location_density_balance,42,4690718861228194910_1980_000_2000_000.parquet,199,199,199,100.0,6526,199,100.0,912,188,94.47,78,78,39.2,0,7516,37.769,46,3360,2594,1562,10535.681,865.626,0,5658,1858,True,True,True
7493781117404461396_2140_000_2160_000,Day,sunny,location_sf,high,pedestrian_rich,42,7493781117404461396_2140_000_2160_000.parquet,199,199,199,100.0,7152,199,100.0,4491,199,100.0,0,0,0.0,0,11643,58.508,69,3388,5566,2689,4638.014,1704.126,0,2268,9375,True,True,False
7732779227944176527_2120_000_2140_000,Day,sunny,location_sf,high,pedestrian_rich,42,7732779227944176527_2120_000_2140_000.parquet,199,199,199,100.0,3760,199,100.0,5783,199,100.0,0,0,0.0,0,9543,47.955,66,1749,4567,3227,8240.413,1851.322,0,72,9471,True,True,False
8137195482049459160_3100_000_3120_000,Day,sunny,location_sf,high,day_location_density_balance,42,8137195482049459160_3100_000_3120_000.parquet,199,199,199,100.0,5499,199,100.0,3848,199,100.0,0,0,0.0,0,9347,46.97,54,3700,3080,2567,10614.282,1322.373,0,3331,6016,True,True,False
8302000153252334863_6020_000_6040_000,Day,sunny,location_sf,high,pedestrian_rich,42,8302000153252334863_6020_000_6040_000.parquet,199,199,199,100.0,3520,199,100.0,3707,199,100.0,0,0,0.0,0,7227,36.317,43,2074,2670,2483,6430.112,1758.465,0,4730,2497,True,True,False
8506432817378693815_4860_000_4880_000,Day,sunny,location_sf,high,cyclist_rich|pedestrian_rich,42,8506432817378693815_4860_000_4880_000.parquet,198,198,198,100.0,3298,198,100.0,6193,198,100.0,286,198,100.0,0,9777,49.379,65,4057,3585,2135,5955.582,904.719,0,2135,7642,True,True,True
12306251798468767010_560_000_580_000,Day,sunny,location_sf,low,day_location_density_balance,42,12306251798468767010_560_000_580_000.parquet,198,198,198,100.0,1208,198,100.0,0,0,0.0,0,0,0.0,0,1208,6.101,9,86,109,1013,77252.815,24377.74,0,0,1208,True,False,False
17135518413411879545_1480_000_1500_000,Day,sunny,location_sf,low,day_location_density_balance,42,17135518413411879545_1480_000_1500_000.parquet,197,173,173,87.82,933,157,79.7,505,142,72.08,0,0,0.0,0,1438,7.299,14,304,677,457,6927.757,1646.684,0,785,653,True,True,False
933621182106051783_4160_000_4180_000,Day,sunny,location_sf,medium,day_location_density_balance,42,933621182106051783_4160_000_4180_000.parquet,198,198,198,100.0,5931,198,100.0,580,198,100.0,0,0,0.0,0,6511,32.884,49,2529,1782,2200,13320.319,1183.953,0,4495,2016,True,True,False
13184115878756336167_1354_000_1374_000,Night,sunny,location_other,high,night_condition,42,13184115878756336167_1354_000_1374_000.parquet,199,199,199,100.0,3286,199,100.0,0,0,0.0,0,0,0.0,0,3286,16.513,32,1385,864,1037,11371.829,1165.204,0,2055,1231,True,False,False
11901761444769610243_556_000_576_000,Night,sunny,location_other,low,night_condition,42,11901761444769610243_556_000_576_000.parquet,196,196,196,100.0,667,196,100.0,0,0,0.0,0,0,0.0,0,667,3.403,7,1,122,544,31721.456,14717.235,0,23,644,True,False,False
10335539493577748957_1372_870_1392_870,Night,sunny,location_phx,low,night_condition,42,10335539493577748957_1372_870_1392_870.parquet,198,198,198,100.0,2792,198,100.0,245,91,45.96,0,0,0.0,0,3037,15.338,23,937,1155,945,11965.491,1453.289,0,1938,1099,True,True,False
11037651371539287009_77_670_97_670,Night,sunny,location_phx,low,night_condition,42,11037651371539287009_77_670_97_670.parquet,191,191,191,100.0,876,191,100.0,365,106,55.5,0,0,0.0,0,1241,6.497,10,64,227,950,31063.957,10878.165,0,226,1015,True,True,False
18305329035161925340_4466_730_4486_730,Night,sunny,location_phx,low,night_condition,42,18305329035161925340_4466_730_4486_730.parquet,197,197,197,100.0,2640,197,100.0,0,0,0.0,0,0,0.0,0,2640,13.401,27,1053,1203,384,2180.072,932.243,0,1976,664,True,False,False
4816728784073043251_5273_410_5293_410,Night,sunny,location_phx,low,night_condition,42,4816728784073043251_5273_410_5293_410.parquet,196,196,196,100.0,474,196,100.0,158,80,40.82,0,0,0.0,0,632,3.224,6,428,184,20,797.765,494.643,0,370,262,True,True,False
9164052963393400298_4692_970_4712_970,Night,sunny,location_phx,low,night_condition,42,9164052963393400298_4692_970_4712_970.parquet,199,199,199,100.0,1699,199,100.0,46,17,8.54,0,0,0.0,0,1745,8.769,20,1047,549,149,2198.398,631.867,0,1511,234,True,True,False
14107757919671295130_3546_370_3566_370,Night,sunny,location_phx,medium,night_condition,42,14107757919671295130_3546_370_3566_370.parquet,194,194,194,100.0,3327,194,100.0,83,48,24.74,0,0,0.0,0,3410,17.577,23,1525,1331,554,2092.255,873.604,0,2080,1330,True,True,False
18024188333634186656_1566_600_1586_600,Night,sunny,location_phx,medium,night_condition,42,18024188333634186656_1566_600_1586_600.parquet,198,198,198,100.0,1627,198,100.0,271,121,61.11,0,0,0.0,0,1898,9.586,14,652,745,501,3679.916,1057.001,0,1475,423,True,True,False
8679184381783013073_7740_000_7760_000,Night,sunny,location_sf,high,night_condition,42,8679184381783013073_7740_000_7760_000.parquet,198,198,198,100.0,5211,198,100.0,1607,198,100.0,153,153,77.27,0,6971,35.207,38,1332,2579,3060,11517.187,2551.009,0,3648,3323,True,True,True
13694146168933185611_800_000_820_000,Night,sunny,location_sf,low,night_condition,42,13694146168933185611_800_000_820_000.parquet,193,193,193,100.0,2098,193,100.0,0,0,0.0,0,0,0.0,0,2098,10.87,14,209,688,1201,18512.202,4774.756,0,638,1460,True,False,False
1464917900451858484_1960_000_1980_000,Night,sunny,location_sf,low,night_condition,42,1464917900451858484_1960_000_1980_000.parquet,197,186,186,94.42,1334,186,94.42,0,0,0.0,0,0,0.0,0,1334,6.772,13,129,445,760,9974.727,4196.091,0,549,785,True,False,False
4426410228514970291_1620_000_1640_000,Night,sunny,location_sf,low,night_condition,42,4426410228514970291_1620_000_1640_000.parquet,198,198,198,100.0,1969,198,100.0,0,0,0.0,0,0,0.0,0,1969,9.944,14,89,480,1400,20656.778,6414.407,0,0,1969,True,False,False
11387395026864348975_3820_000_3840_000,Night,sunny,location_sf,medium,night_condition,42,11387395026864348975_3820_000_3840_000.parquet,197,197,197,100.0,4213,197,100.0,37,37,18.78,0,0,0.0,0,4250,21.574,34,1229,1842,1179,6547.829,1493.504,0,1307,2943,True,True,False
11660186733224028707_420_000_440_000,Night,sunny,location_sf,medium,night_condition,42,11660186733224028707_420_000_440_000.parquet,197,197,197,100.0,3847,197,100.0,597,197,100.0,0,0,0.0,0,4444,22.558,36,653,1637,2154,14511.673,3036.073,0,1737,2707,True,True,False
13982731384839979987_1680_000_1700_000,Night,sunny,location_sf,medium,night_condition,42,13982731384839979987_1680_000_1700_000.parquet,199,199,199,100.0,2725,199,100.0,199,199,100.0,0,0,0.0,0,2924,14.693,25,393,777,1754,17987.511,5223.458,0,2191,733,True,True,False
14300007604205869133_1160_000_1180_000,Night,sunny,location_sf,medium,night_condition,42,14300007604205869133_1160_000_1180_000.parquet,199,199,199,100.0,5562,199,100.0,240,179,89.95,187,133,66.83,0,5989,30.095,36,2202,1861,1926,9396.533,1455.033,0,5655,334,True,True,True
15028688279822984888_1560_000_1580_000,Night,sunny,location_sf,medium,night_condition,42,15028688279822984888_1560_000_1580_000.parquet,198,192,192,96.97,1445,136,68.69,117,95,47.98,0,0,0.0,0,1562,7.889,19,121,531,910,23247.014,4578.97,0,353,1209,True,True,False
5289247502039512990_2640_000_2660_000,Night,sunny,location_sf,medium,night_condition,42,5289247502039512990_2640_000_2660_000.parquet,198,198,198,100.0,4001,198,100.0,0,0,0.0,0,0,0.0,0,4001,20.207,23,376,1567,2058,8625.811,3478.866,0,2906,1095,True,False,False
