global_image_id,canonical_image_key,dataset,partition,experimental_role,source_image_id,source_image_path,source_annotation_path,source_annotation_key,source_calibration_path,source_raw_annotation_path,source_width,source_height,source_extension,output_filename,output_relative_path,target_box_count,vehicle_count,pedestrian_count,cyclist_count,ignored_box_count,is_negative,segment_id,frame_timestamp_micros,camera_name,time_of_day,weather,location,density_group,sampling_rule
11,kitti_000010,KITTI,val,in_domain_validation,000010,data/kitti/raw/training/image_2/000010.png,data/kitti/raw/training/label_2/000010.txt,000010,data/kitti/raw/training/calib/000010.txt,data/kitti/raw/training/label_2/000010.txt,1242,375,.png,000010.png,images/kitti/val/000010.png,9,8,1,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
12,kitti_000011,KITTI,train,model_training,000011,data/kitti/raw/training/image_2/000011.png,data/kitti/raw/training/label_2/000011.txt,000011,data/kitti/raw/training/calib/000011.txt,data/kitti/raw/training/label_2/000011.txt,1242,375,.png,000011.png,images/kitti/train/000011.png,6,2,4,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
13,kitti_000012,KITTI,train,model_training,000012,data/kitti/raw/training/image_2/000012.png,data/kitti/raw/training/label_2/000012.txt,000012,data/kitti/raw/training/calib/000012.txt,data/kitti/raw/training/label_2/000012.txt,1242,375,.png,000012.png,images/kitti/train/000012.png,2,2,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
14,kitti_000013,KITTI,train,model_training,000013,data/kitti/raw/training/image_2/000013.png,data/kitti/raw/training/label_2/000013.txt,000013,data/kitti/raw/training/calib/000013.txt,data/kitti/raw/training/label_2/000013.txt,1242,375,.png,000013.png,images/kitti/train/000013.png,1,1,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
15,kitti_000014,KITTI,train,model_training,000014,data/kitti/raw/training/image_2/000014.png,data/kitti/raw/training/label_2/000014.txt,000014,data/kitti/raw/training/calib/000014.txt,data/kitti/raw/training/label_2/000014.txt,1242,375,.png,000014.png,images/kitti/train/000014.png,1,1,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
16,kitti_000015,KITTI,train,model_training,000015,data/kitti/raw/training/image_2/000015.png,data/kitti/raw/training/label_2/000015.txt,000015,data/kitti/raw/training/calib/000015.txt,data/kitti/raw/training/label_2/000015.txt,1238,374,.png,000015.png,images/kitti/train/000015.png,5,1,4,0,5,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
17,kitti_000016,KITTI,train,model_training,000016,data/kitti/raw/training/image_2/000016.png,data/kitti/raw/training/label_2/000016.txt,000016,data/kitti/raw/training/calib/000016.txt,data/kitti/raw/training/label_2/000016.txt,1242,375,.png,000016.png,images/kitti/train/000016.png,5,5,0,0,17,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
18,kitti_000017,KITTI,train,model_training,000017,data/kitti/raw/training/image_2/000017.png,data/kitti/raw/training/label_2/000017.txt,000017,data/kitti/raw/training/calib/000017.txt,data/kitti/raw/training/label_2/000017.txt,1242,375,.png,000017.png,images/kitti/train/000017.png,1,1,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
19,kitti_000018,KITTI,train,model_training,000018,data/kitti/raw/training/image_2/000018.png,data/kitti/raw/training/label_2/000018.txt,000018,data/kitti/raw/training/calib/000018.txt,data/kitti/raw/training/label_2/000018.txt,1242,375,.png,000018.png,images/kitti/train/000018.png,2,2,0,0,18,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
20,kitti_000019,KITTI,train,model_training,000019,data/kitti/raw/training/image_2/000019.png,data/kitti/raw/training/label_2/000019.txt,000019,data/kitti/raw/training/calib/000019.txt,data/kitti/raw/training/label_2/000019.txt,1242,375,.png,000019.png,images/kitti/train/000019.png,4,4,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
21,kitti_000020,KITTI,val,in_domain_validation,000020,data/kitti/raw/training/image_2/000020.png,data/kitti/raw/training/label_2/000020.txt,000020,data/kitti/raw/training/calib/000020.txt,data/kitti/raw/training/label_2/000020.txt,1242,375,.png,000020.png,images/kitti/val/000020.png,1,1,0,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
22,kitti_000021,KITTI,train,model_training,000021,data/kitti/raw/training/image_2/000021.png,data/kitti/raw/training/label_2/000021.txt,000021,data/kitti/raw/training/calib/000021.txt,data/kitti/raw/training/label_2/000021.txt,1242,375,.png,000021.png,images/kitti/train/000021.png,8,7,0,1,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
23,kitti_000022,KITTI,train,model_training,000022,data/kitti/raw/training/image_2/000022.png,data/kitti/raw/training/label_2/000022.txt,000022,data/kitti/raw/training/calib/000022.txt,data/kitti/raw/training/label_2/000022.txt,1242,375,.png,000022.png,images/kitti/train/000022.png,2,2,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
24,kitti_000023,KITTI,train,model_training,000023,data/kitti/raw/training/image_2/000023.png,data/kitti/raw/training/label_2/000023.txt,000023,data/kitti/raw/training/calib/000023.txt,data/kitti/raw/training/label_2/000023.txt,1242,375,.png,000023.png,images/kitti/train/000023.png,3,2,0,1,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
25,kitti_000024,KITTI,val,in_domain_validation,000024,data/kitti/raw/training/image_2/000024.png,data/kitti/raw/training/label_2/000024.txt,000024,data/kitti/raw/training/calib/000024.txt,data/kitti/raw/training/label_2/000024.txt,1241,376,.png,000024.png,images/kitti/val/000024.png,3,3,0,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
26,kitti_000025,KITTI,val,in_domain_validation,000025,data/kitti/raw/training/image_2/000025.png,data/kitti/raw/training/label_2/000025.txt,000025,data/kitti/raw/training/calib/000025.txt,data/kitti/raw/training/label_2/000025.txt,1242,375,.png,000025.png,images/kitti/val/000025.png,6,5,0,1,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
27,kitti_000026,KITTI,train,model_training,000026,data/kitti/raw/training/image_2/000026.png,data/kitti/raw/training/label_2/000026.txt,000026,data/kitti/raw/training/calib/000026.txt,data/kitti/raw/training/label_2/000026.txt,1242,375,.png,000026.png,images/kitti/train/000026.png,2,2,0,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
28,kitti_000027,KITTI,train,model_training,000027,data/kitti/raw/training/image_2/000027.png,data/kitti/raw/training/label_2/000027.txt,000027,data/kitti/raw/training/calib/000027.txt,data/kitti/raw/training/label_2/000027.txt,1242,375,.png,000027.png,images/kitti/train/000027.png,2,2,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
29,kitti_000028,KITTI,train,model_training,000028,data/kitti/raw/training/image_2/000028.png,data/kitti/raw/training/label_2/000028.txt,000028,data/kitti/raw/training/calib/000028.txt,data/kitti/raw/training/label_2/000028.txt,1224,370,.png,000028.png,images/kitti/train/000028.png,1,0,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
30,kitti_000029,KITTI,train,model_training,000029,data/kitti/raw/training/image_2/000029.png,data/kitti/raw/training/label_2/000029.txt,000029,data/kitti/raw/training/calib/000029.txt,data/kitti/raw/training/label_2/000029.txt,1242,375,.png,000029.png,images/kitti/train/000029.png,1,1,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
31,kitti_000030,KITTI,train,model_training,000030,data/kitti/raw/training/image_2/000030.png,data/kitti/raw/training/label_2/000030.txt,000030,data/kitti/raw/training/calib/000030.txt,data/kitti/raw/training/label_2/000030.txt,1242,375,.png,000030.png,images/kitti/train/000030.png,1,1,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
32,kitti_000031,KITTI,train,model_training,000031,data/kitti/raw/training/image_2/000031.png,data/kitti/raw/training/label_2/000031.txt,000031,data/kitti/raw/training/calib/000031.txt,data/kitti/raw/training/label_2/000031.txt,1242,375,.png,000031.png,images/kitti/train/000031.png,6,6,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
33,kitti_000032,KITTI,val,in_domain_validation,000032,data/kitti/raw/training/image_2/000032.png,data/kitti/raw/training/label_2/000032.txt,000032,data/kitti/raw/training/calib/000032.txt,data/kitti/raw/training/label_2/000032.txt,1242,375,.png,000032.png,images/kitti/val/000032.png,10,10,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
34,kitti_000033,KITTI,train,model_training,000033,data/kitti/raw/training/image_2/000033.png,data/kitti/raw/training/label_2/000033.txt,000033,data/kitti/raw/training/calib/000033.txt,data/kitti/raw/training/label_2/000033.txt,1242,375,.png,000033.png,images/kitti/train/000033.png,2,2,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
35,kitti_000034,KITTI,train,model_training,000034,data/kitti/raw/training/image_2/000034.png,data/kitti/raw/training/label_2/000034.txt,000034,data/kitti/raw/training/calib/000034.txt,data/kitti/raw/training/label_2/000034.txt,1242,375,.png,000034.png,images/kitti/train/000034.png,2,2,0,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
36,kitti_000035,KITTI,val,in_domain_validation,000035,data/kitti/raw/training/image_2/000035.png,data/kitti/raw/training/label_2/000035.txt,000035,data/kitti/raw/training/calib/000035.txt,data/kitti/raw/training/label_2/000035.txt,1242,375,.png,000035.png,images/kitti/val/000035.png,5,3,1,1,6,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
37,kitti_000036,KITTI,train,model_training,000036,data/kitti/raw/training/image_2/000036.png,data/kitti/raw/training/label_2/000036.txt,000036,data/kitti/raw/training/calib/000036.txt,data/kitti/raw/training/label_2/000036.txt,1242,375,.png,000036.png,images/kitti/train/000036.png,7,7,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
38,kitti_000037,KITTI,val,in_domain_validation,000037,data/kitti/raw/training/image_2/000037.png,data/kitti/raw/training/label_2/000037.txt,000037,data/kitti/raw/training/calib/000037.txt,data/kitti/raw/training/label_2/000037.txt,1241,376,.png,000037.png,images/kitti/val/000037.png,3,3,0,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
39,kitti_000038,KITTI,train,model_training,000038,data/kitti/raw/training/image_2/000038.png,data/kitti/raw/training/label_2/000038.txt,000038,data/kitti/raw/training/calib/000038.txt,data/kitti/raw/training/label_2/000038.txt,1242,375,.png,000038.png,images/kitti/train/000038.png,12,12,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
40,kitti_000039,KITTI,train,model_training,000039,data/kitti/raw/training/image_2/000039.png,data/kitti/raw/training/label_2/000039.txt,000039,data/kitti/raw/training/calib/000039.txt,data/kitti/raw/training/label_2/000039.txt,1242,375,.png,000039.png,images/kitti/train/000039.png,6,6,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
41,kitti_000040,KITTI,train,model_training,000040,data/kitti/raw/training/image_2/000040.png,data/kitti/raw/training/label_2/000040.txt,000040,data/kitti/raw/training/calib/000040.txt,data/kitti/raw/training/label_2/000040.txt,1242,375,.png,000040.png,images/kitti/train/000040.png,2,1,1,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
42,kitti_000041,KITTI,train,model_training,000041,data/kitti/raw/training/image_2/000041.png,data/kitti/raw/training/label_2/000041.txt,000041,data/kitti/raw/training/calib/000041.txt,data/kitti/raw/training/label_2/000041.txt,1242,375,.png,000041.png,images/kitti/train/000041.png,1,1,0,0,4,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
43,kitti_000042,KITTI,val,in_domain_validation,000042,data/kitti/raw/training/image_2/000042.png,data/kitti/raw/training/label_2/000042.txt,000042,data/kitti/raw/training/calib/000042.txt,data/kitti/raw/training/label_2/000042.txt,1242,375,.png,000042.png,images/kitti/val/000042.png,1,1,0,0,5,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
44,kitti_000043,KITTI,train,model_training,000043,data/kitti/raw/training/image_2/000043.png,data/kitti/raw/training/label_2/000043.txt,000043,data/kitti/raw/training/calib/000043.txt,data/kitti/raw/training/label_2/000043.txt,1242,375,.png,000043.png,images/kitti/train/000043.png,4,0,4,0,5,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
45,kitti_000044,KITTI,train,model_training,000044,data/kitti/raw/training/image_2/000044.png,data/kitti/raw/training/label_2/000044.txt,000044,data/kitti/raw/training/calib/000044.txt,data/kitti/raw/training/label_2/000044.txt,1242,375,.png,000044.png,images/kitti/train/000044.png,2,2,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
46,kitti_000045,KITTI,train,model_training,000045,data/kitti/raw/training/image_2/000045.png,data/kitti/raw/training/label_2/000045.txt,000045,data/kitti/raw/training/calib/000045.txt,data/kitti/raw/training/label_2/000045.txt,1242,375,.png,000045.png,images/kitti/train/000045.png,6,6,0,0,6,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
47,kitti_000046,KITTI,train,model_training,000046,data/kitti/raw/training/image_2/000046.png,data/kitti/raw/training/label_2/000046.txt,000046,data/kitti/raw/training/calib/000046.txt,data/kitti/raw/training/label_2/000046.txt,1242,375,.png,000046.png,images/kitti/train/000046.png,6,6,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
48,kitti_000047,KITTI,val,in_domain_validation,000047,data/kitti/raw/training/image_2/000047.png,data/kitti/raw/training/label_2/000047.txt,000047,data/kitti/raw/training/calib/000047.txt,data/kitti/raw/training/label_2/000047.txt,1241,376,.png,000047.png,images/kitti/val/000047.png,9,9,0,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
49,kitti_000048,KITTI,train,model_training,000048,data/kitti/raw/training/image_2/000048.png,data/kitti/raw/training/label_2/000048.txt,000048,data/kitti/raw/training/calib/000048.txt,data/kitti/raw/training/label_2/000048.txt,1238,374,.png,000048.png,images/kitti/train/000048.png,4,0,3,1,6,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
50,kitti_000049,KITTI,train,model_training,000049,data/kitti/raw/training/image_2/000049.png,data/kitti/raw/training/label_2/000049.txt,000049,data/kitti/raw/training/calib/000049.txt,data/kitti/raw/training/label_2/000049.txt,1242,375,.png,000049.png,images/kitti/train/000049.png,18,16,2,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
51,kitti_000050,KITTI,train,model_training,000050,data/kitti/raw/training/image_2/000050.png,data/kitti/raw/training/label_2/000050.txt,000050,data/kitti/raw/training/calib/000050.txt,data/kitti/raw/training/label_2/000050.txt,1242,375,.png,000050.png,images/kitti/train/000050.png,5,5,0,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
52,kitti_000051,KITTI,train,model_training,000051,data/kitti/raw/training/image_2/000051.png,data/kitti/raw/training/label_2/000051.txt,000051,data/kitti/raw/training/calib/000051.txt,data/kitti/raw/training/label_2/000051.txt,1242,375,.png,000051.png,images/kitti/train/000051.png,2,1,0,1,9,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
53,kitti_000052,KITTI,val,in_domain_validation,000052,data/kitti/raw/training/image_2/000052.png,data/kitti/raw/training/label_2/000052.txt,000052,data/kitti/raw/training/calib/000052.txt,data/kitti/raw/training/label_2/000052.txt,1242,375,.png,000052.png,images/kitti/val/000052.png,6,6,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
54,kitti_000053,KITTI,train,model_training,000053,data/kitti/raw/training/image_2/000053.png,data/kitti/raw/training/label_2/000053.txt,000053,data/kitti/raw/training/calib/000053.txt,data/kitti/raw/training/label_2/000053.txt,1242,375,.png,000053.png,images/kitti/train/000053.png,7,7,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
55,kitti_000054,KITTI,train,model_training,000054,data/kitti/raw/training/image_2/000054.png,data/kitti/raw/training/label_2/000054.txt,000054,data/kitti/raw/training/calib/000054.txt,data/kitti/raw/training/label_2/000054.txt,1224,370,.png,000054.png,images/kitti/train/000054.png,1,0,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
56,kitti_000055,KITTI,train,model_training,000055,data/kitti/raw/training/image_2/000055.png,data/kitti/raw/training/label_2/000055.txt,000055,data/kitti/raw/training/calib/000055.txt,data/kitti/raw/training/label_2/000055.txt,1242,375,.png,000055.png,images/kitti/train/000055.png,5,5,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
57,kitti_000056,KITTI,train,model_training,000056,data/kitti/raw/training/image_2/000056.png,data/kitti/raw/training/label_2/000056.txt,000056,data/kitti/raw/training/calib/000056.txt,data/kitti/raw/training/label_2/000056.txt,1242,375,.png,000056.png,images/kitti/train/000056.png,1,1,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
58,kitti_000057,KITTI,train,model_training,000057,data/kitti/raw/training/image_2/000057.png,data/kitti/raw/training/label_2/000057.txt,000057,data/kitti/raw/training/calib/000057.txt,data/kitti/raw/training/label_2/000057.txt,1242,375,.png,000057.png,images/kitti/train/000057.png,3,3,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
59,kitti_000058,KITTI,train,model_training,000058,data/kitti/raw/training/image_2/000058.png,data/kitti/raw/training/label_2/000058.txt,000058,data/kitti/raw/training/calib/000058.txt,data/kitti/raw/training/label_2/000058.txt,1224,370,.png,000058.png,images/kitti/train/000058.png,1,0,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
60,kitti_000059,KITTI,train,model_training,000059,data/kitti/raw/training/image_2/000059.png,data/kitti/raw/training/label_2/000059.txt,000059,data/kitti/raw/training/calib/000059.txt,data/kitti/raw/training/label_2/000059.txt,1242,375,.png,000059.png,images/kitti/train/000059.png,5,5,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
61,kitti_000060,KITTI,val,in_domain_validation,000060,data/kitti/raw/training/image_2/000060.png,data/kitti/raw/training/label_2/000060.txt,000060,data/kitti/raw/training/calib/000060.txt,data/kitti/raw/training/label_2/000060.txt,1242,375,.png,000060.png,images/kitti/val/000060.png,4,3,0,1,5,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
62,kitti_000061,KITTI,train,model_training,000061,data/kitti/raw/training/image_2/000061.png,data/kitti/raw/training/label_2/000061.txt,000061,data/kitti/raw/training/calib/000061.txt,data/kitti/raw/training/label_2/000061.txt,1242,375,.png,000061.png,images/kitti/train/000061.png,5,5,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
63,kitti_000062,KITTI,train,model_training,000062,data/kitti/raw/training/image_2/000062.png,data/kitti/raw/training/label_2/000062.txt,000062,data/kitti/raw/training/calib/000062.txt,data/kitti/raw/training/label_2/000062.txt,1242,375,.png,000062.png,images/kitti/train/000062.png,5,4,0,1,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
64,kitti_000063,KITTI,train,model_training,000063,data/kitti/raw/training/image_2/000063.png,data/kitti/raw/training/label_2/000063.txt,000063,data/kitti/raw/training/calib/000063.txt,data/kitti/raw/training/label_2/000063.txt,1242,375,.png,000063.png,images/kitti/train/000063.png,4,3,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
65,kitti_000064,KITTI,train,model_training,000064,data/kitti/raw/training/image_2/000064.png,data/kitti/raw/training/label_2/000064.txt,000064,data/kitti/raw/training/calib/000064.txt,data/kitti/raw/training/label_2/000064.txt,1242,375,.png,000064.png,images/kitti/train/000064.png,4,4,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
66,kitti_000065,KITTI,val,in_domain_validation,000065,data/kitti/raw/training/image_2/000065.png,data/kitti/raw/training/label_2/000065.txt,000065,data/kitti/raw/training/calib/000065.txt,data/kitti/raw/training/label_2/000065.txt,1238,374,.png,000065.png,images/kitti/val/000065.png,6,0,6,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
67,kitti_000066,KITTI,train,model_training,000066,data/kitti/raw/training/image_2/000066.png,data/kitti/raw/training/label_2/000066.txt,000066,data/kitti/raw/training/calib/000066.txt,data/kitti/raw/training/label_2/000066.txt,1242,375,.png,000066.png,images/kitti/train/000066.png,2,2,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
68,kitti_000067,KITTI,train,model_training,000067,data/kitti/raw/training/image_2/000067.png,data/kitti/raw/training/label_2/000067.txt,000067,data/kitti/raw/training/calib/000067.txt,data/kitti/raw/training/label_2/000067.txt,1242,375,.png,000067.png,images/kitti/train/000067.png,6,6,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
69,kitti_000068,KITTI,train,model_training,000068,data/kitti/raw/training/image_2/000068.png,data/kitti/raw/training/label_2/000068.txt,000068,data/kitti/raw/training/calib/000068.txt,data/kitti/raw/training/label_2/000068.txt,1242,375,.png,000068.png,images/kitti/train/000068.png,12,10,0,2,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
70,kitti_000069,KITTI,train,model_training,000069,data/kitti/raw/training/image_2/000069.png,data/kitti/raw/training/label_2/000069.txt,000069,data/kitti/raw/training/calib/000069.txt,data/kitti/raw/training/label_2/000069.txt,1242,375,.png,000069.png,images/kitti/train/000069.png,2,2,0,0,3,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
71,kitti_000070,KITTI,train,model_training,000070,data/kitti/raw/training/image_2/000070.png,data/kitti/raw/training/label_2/000070.txt,000070,data/kitti/raw/training/calib/000070.txt,data/kitti/raw/training/label_2/000070.txt,1224,370,.png,000070.png,images/kitti/train/000070.png,1,0,1,0,0,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
72,kitti_000071,KITTI,train,model_training,000071,data/kitti/raw/training/image_2/000071.png,data/kitti/raw/training/label_2/000071.txt,000071,data/kitti/raw/training/calib/000071.txt,data/kitti/raw/training/label_2/000071.txt,1242,375,.png,000071.png,images/kitti/train/000071.png,1,1,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
73,kitti_000072,KITTI,train,model_training,000072,data/kitti/raw/training/image_2/000072.png,data/kitti/raw/training/label_2/000072.txt,000072,data/kitti/raw/training/calib/000072.txt,data/kitti/raw/training/label_2/000072.txt,1242,375,.png,000072.png,images/kitti/train/000072.png,3,3,0,0,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
74,kitti_000073,KITTI,train,model_training,000073,data/kitti/raw/training/image_2/000073.png,data/kitti/raw/training/label_2/000073.txt,000073,data/kitti/raw/training/calib/000073.txt,data/kitti/raw/training/label_2/000073.txt,1242,375,.png,000073.png,images/kitti/train/000073.png,7,0,5,2,1,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
75,kitti_000074,KITTI,train,model_training,000074,data/kitti/raw/training/image_2/000074.png,data/kitti/raw/training/label_2/000074.txt,000074,data/kitti/raw/training/calib/000074.txt,data/kitti/raw/training/label_2/000074.txt,1224,370,.png,000074.png,images/kitti/train/000074.png,3,0,3,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
76,kitti_000075,KITTI,train,model_training,000075,data/kitti/raw/training/image_2/000075.png,data/kitti/raw/training/label_2/000075.txt,000075,data/kitti/raw/training/calib/000075.txt,data/kitti/raw/training/label_2/000075.txt,1242,375,.png,000075.png,images/kitti/train/000075.png,5,5,0,0,2,false,,,LEFT_COLOR_IMAGE_2,,,,,official_labeled_image
