image_id,final_segment_number,segment_id,frame_timestamp_micros,camera_id,camera_name,source_front_frame_index,selected_frame_number_in_segment,image_filename,relative_image_path,image_width,image_height,number_of_target_boxes,vehicle_count,pedestrian_count,cyclist_count,time_of_day,weather,location,density_group,sampling_rule
13415985003725220451_6163_000_6183_000_1518657664337376,1,13415985003725220451_6163_000_6183_000,1518657664337376,1,FRONT,170,35,1518657664337376.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657664337376.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657664837524,1,13415985003725220451_6163_000_6183_000,1518657664837524,1,FRONT,175,36,1518657664837524.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657664837524.jpg,1920,1280,14,14,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657665337550,1,13415985003725220451_6163_000_6183_000,1518657665337550,1,FRONT,180,37,1518657665337550.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657665337550.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657665837506,1,13415985003725220451_6163_000_6183_000,1518657665837506,1,FRONT,185,38,1518657665837506.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657665837506.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657666337355,1,13415985003725220451_6163_000_6183_000,1518657666337355,1,FRONT,190,39,1518657666337355.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657666337355.jpg,1920,1280,16,16,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
13415985003725220451_6163_000_6183_000_1518657666837230,1,13415985003725220451_6163_000_6183_000,1518657666837230,1,FRONT,195,40,1518657666837230.jpg,images/front/13415985003725220451_6163_000_6183_000/1518657666837230.jpg,1920,1280,15,15,0,0,Dawn/Dusk,rain,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338339428611,2,14931160836268555821_5778_870_5798_870,1507338339428611,1,FRONT,0,1,1507338339428611.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338339428611.jpg,1920,1280,10,4,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338339928863,2,14931160836268555821_5778_870_5798_870,1507338339928863,1,FRONT,5,2,1507338339928863.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338339928863.jpg,1920,1280,10,4,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338340429041,2,14931160836268555821_5778_870_5798_870,1507338340429041,1,FRONT,10,3,1507338340429041.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338340429041.jpg,1920,1280,10,4,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338340929345,2,14931160836268555821_5778_870_5798_870,1507338340929345,1,FRONT,15,4,1507338340929345.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338340929345.jpg,1920,1280,11,4,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338341429797,2,14931160836268555821_5778_870_5798_870,1507338341429797,1,FRONT,20,5,1507338341429797.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338341429797.jpg,1920,1280,10,4,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338341930342,2,14931160836268555821_5778_870_5798_870,1507338341930342,1,FRONT,25,6,1507338341930342.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338341930342.jpg,1920,1280,10,4,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338342430949,2,14931160836268555821_5778_870_5798_870,1507338342430949,1,FRONT,30,7,1507338342430949.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338342430949.jpg,1920,1280,12,4,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338342931418,2,14931160836268555821_5778_870_5798_870,1507338342931418,1,FRONT,35,8,1507338342931418.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338342931418.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338343431885,2,14931160836268555821_5778_870_5798_870,1507338343431885,1,FRONT,40,9,1507338343431885.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338343431885.jpg,1920,1280,12,4,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338343932395,2,14931160836268555821_5778_870_5798_870,1507338343932395,1,FRONT,45,10,1507338343932395.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338343932395.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338344633085,2,14931160836268555821_5778_870_5798_870,1507338344633085,1,FRONT,50,11,1507338344633085.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338344633085.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338345434040,2,14931160836268555821_5778_870_5798_870,1507338345434040,1,FRONT,55,12,1507338345434040.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338345434040.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338346234843,2,14931160836268555821_5778_870_5798_870,1507338346234843,1,FRONT,60,13,1507338346234843.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338346234843.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338347135465,2,14931160836268555821_5778_870_5798_870,1507338347135465,1,FRONT,65,14,1507338347135465.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338347135465.jpg,1920,1280,11,3,5,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338347835422,2,14931160836268555821_5778_870_5798_870,1507338347835422,1,FRONT,70,15,1507338347835422.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338347835422.jpg,1920,1280,9,2,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338348635365,2,14931160836268555821_5778_870_5798_870,1507338348635365,1,FRONT,75,16,1507338348635365.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338348635365.jpg,1920,1280,6,2,2,2,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338349135391,2,14931160836268555821_5778_870_5798_870,1507338349135391,1,FRONT,80,17,1507338349135391.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338349135391.jpg,1920,1280,9,2,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338349635394,2,14931160836268555821_5778_870_5798_870,1507338349635394,1,FRONT,85,18,1507338349635394.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338349635394.jpg,1920,1280,9,2,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338350135327,2,14931160836268555821_5778_870_5798_870,1507338350135327,1,FRONT,90,19,1507338350135327.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338350135327.jpg,1920,1280,8,1,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338350635049,2,14931160836268555821_5778_870_5798_870,1507338350635049,1,FRONT,95,20,1507338350635049.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338350635049.jpg,1920,1280,8,1,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338351134600,2,14931160836268555821_5778_870_5798_870,1507338351134600,1,FRONT,100,21,1507338351134600.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338351134600.jpg,1920,1280,8,1,4,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338351634080,2,14931160836268555821_5778_870_5798_870,1507338351634080,1,FRONT,105,22,1507338351634080.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338351634080.jpg,1920,1280,7,1,3,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338352133493,2,14931160836268555821_5778_870_5798_870,1507338352133493,1,FRONT,110,23,1507338352133493.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338352133493.jpg,1920,1280,6,1,2,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338352632870,2,14931160836268555821_5778_870_5798_870,1507338352632870,1,FRONT,115,24,1507338352632870.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338352632870.jpg,1920,1280,6,1,2,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338353132275,2,14931160836268555821_5778_870_5798_870,1507338353132275,1,FRONT,120,25,1507338353132275.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338353132275.jpg,1920,1280,6,1,2,3,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338353631702,2,14931160836268555821_5778_870_5798_870,1507338353631702,1,FRONT,125,26,1507338353631702.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338353631702.jpg,1920,1280,5,1,2,2,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338354131264,2,14931160836268555821_5778_870_5798_870,1507338354131264,1,FRONT,130,27,1507338354131264.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338354131264.jpg,1920,1280,4,1,1,2,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338354631134,2,14931160836268555821_5778_870_5798_870,1507338354631134,1,FRONT,135,28,1507338354631134.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338354631134.jpg,1920,1280,3,1,1,1,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338355130969,2,14931160836268555821_5778_870_5798_870,1507338355130969,1,FRONT,140,29,1507338355130969.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338355130969.jpg,1920,1280,2,1,1,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338355630724,2,14931160836268555821_5778_870_5798_870,1507338355630724,1,FRONT,145,30,1507338355630724.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338355630724.jpg,1920,1280,2,1,1,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338356130013,2,14931160836268555821_5778_870_5798_870,1507338356130013,1,FRONT,150,31,1507338356130013.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338356130013.jpg,1920,1280,2,1,1,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338356629266,2,14931160836268555821_5778_870_5798_870,1507338356629266,1,FRONT,155,32,1507338356629266.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338356629266.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338357128741,2,14931160836268555821_5778_870_5798_870,1507338357128741,1,FRONT,160,33,1507338357128741.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338357128741.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338357628663,2,14931160836268555821_5778_870_5798_870,1507338357628663,1,FRONT,165,34,1507338357628663.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338357628663.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338358128410,2,14931160836268555821_5778_870_5798_870,1507338358128410,1,FRONT,170,35,1507338358128410.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338358128410.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338358627820,2,14931160836268555821_5778_870_5798_870,1507338358627820,1,FRONT,175,36,1507338358627820.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338358627820.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
14931160836268555821_5778_870_5798_870_1507338359126891,2,14931160836268555821_5778_870_5798_870,1507338359126891,1,FRONT,180,37,1507338359126891.jpg,images/front/14931160836268555821_5778_870_5798_870/1507338359126891.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165528481701,3,4409585400955983988_3500_470_3520_470,1507165528481701,1,FRONT,0,1,1507165528481701.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165528481701.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165528981692,3,4409585400955983988_3500_470_3520_470,1507165528981692,1,FRONT,5,2,1507165528981692.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165528981692.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165529481777,3,4409585400955983988_3500_470_3520_470,1507165529481777,1,FRONT,10,3,1507165529481777.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165529481777.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165529981988,3,4409585400955983988_3500_470_3520_470,1507165529981988,1,FRONT,15,4,1507165529981988.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165529981988.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165530482113,3,4409585400955983988_3500_470_3520_470,1507165530482113,1,FRONT,20,5,1507165530482113.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165530482113.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165530982100,3,4409585400955983988_3500_470_3520_470,1507165530982100,1,FRONT,25,6,1507165530982100.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165530982100.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165531482104,3,4409585400955983988_3500_470_3520_470,1507165531482104,1,FRONT,30,7,1507165531482104.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165531482104.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165531982500,3,4409585400955983988_3500_470_3520_470,1507165531982500,1,FRONT,35,8,1507165531982500.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165531982500.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
4409585400955983988_3500_470_3520_470_1507165532483910,3,4409585400955983988_3500_470_3520_470,1507165532483910,1,FRONT,40,9,1507165532483910.jpg,images/front/4409585400955983988_3500_470_3520_470/1507165532483910.jpg,1920,1280,1,1,0,0,Dawn/Dusk,sunny,location_phx,low,every_5th_front_frame_starting_at_first
