global_image_id,canonical_image_key,dataset,partition,experimental_role,source_image_id,source_image_path,output_filename,output_relative_path,output_absolute_path,source_width,source_height,target_width,target_height,nominal_scale,actual_scale_x,actual_scale_y,resized_width,resized_height,padding_left,padding_top,padding_right,padding_bottom,padding_value,interpolation,source_extension,output_extension,png_compression_level,target_box_count,vehicle_count,pedestrian_count,cyclist_count,ignored_box_count,is_negative,output_size_bytes,dimensions_valid,padding_valid,geometry_valid,aspect_ratio_error,aspect_ratio_valid,processing_status
24,kitti_000023,KITTI,train,model_training,000023,data/kitti/raw/training/image_2/000023.png,000023.png,images/kitti/train/000023.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000023.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,3,2,0,1,3,False,219247,True,True,True,0.004062176165803066,True,created
25,kitti_000024,KITTI,val,in_domain_validation,000024,data/kitti/raw/training/image_2/000024.png,000024.png,images/kitti/val/000024.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000024.png,1241,376,640,640,0.515713134568896,0.515713134568896,0.5159574468085106,640,194,0,223,0,223,114,opencv_inter_area,.png,.png,3,3,3,0,0,4,False,214206,True,True,True,0.0015628427286689117,True,created
26,kitti_000025,KITTI,val,in_domain_validation,000025,data/kitti/raw/training/image_2/000025.png,000025.png,images/kitti/val/000025.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000025.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,5,0,1,3,False,260482,True,True,True,0.004062176165803066,True,created
27,kitti_000026,KITTI,train,model_training,000026,data/kitti/raw/training/image_2/000026.png,000026.png,images/kitti/train/000026.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000026.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,0,False,246786,True,True,True,0.004062176165803066,True,created
28,kitti_000027,KITTI,train,model_training,000027,data/kitti/raw/training/image_2/000027.png,000027.png,images/kitti/train/000027.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000027.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,1,False,185033,True,True,True,0.004062176165803066,True,created
29,kitti_000028,KITTI,train,model_training,000028,data/kitti/raw/training/image_2/000028.png,000028.png,images/kitti/train/000028.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000028.png,1224,370,640,640,0.5228758169934641,0.5228758169934641,0.5216216216216216,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,0,1,0,0,False,267638,True,True,True,0.00795406805769483,True,created
30,kitti_000029,KITTI,train,model_training,000029,data/kitti/raw/training/image_2/000029.png,000029.png,images/kitti/train/000029.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000029.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,3,False,232254,True,True,True,0.004062176165803066,True,created
31,kitti_000030,KITTI,train,model_training,000030,data/kitti/raw/training/image_2/000030.png,000030.png,images/kitti/train/000030.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000030.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,1,False,251960,True,True,True,0.004062176165803066,True,created
32,kitti_000031,KITTI,train,model_training,000031,data/kitti/raw/training/image_2/000031.png,000031.png,images/kitti/train/000031.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000031.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,3,False,258782,True,True,True,0.004062176165803066,True,created
33,kitti_000032,KITTI,val,in_domain_validation,000032,data/kitti/raw/training/image_2/000032.png,000032.png,images/kitti/val/000032.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000032.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,10,10,0,0,2,False,243447,True,True,True,0.004062176165803066,True,created
34,kitti_000033,KITTI,train,model_training,000033,data/kitti/raw/training/image_2/000033.png,000033.png,images/kitti/train/000033.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000033.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,1,False,206106,True,True,True,0.004062176165803066,True,created
35,kitti_000034,KITTI,train,model_training,000034,data/kitti/raw/training/image_2/000034.png,000034.png,images/kitti/train/000034.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000034.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,4,False,272478,True,True,True,0.004062176165803066,True,created
36,kitti_000035,KITTI,val,in_domain_validation,000035,data/kitti/raw/training/image_2/000035.png,000035.png,images/kitti/val/000035.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000035.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,3,1,1,6,False,234122,True,True,True,0.004062176165803066,True,created
37,kitti_000036,KITTI,train,model_training,000036,data/kitti/raw/training/image_2/000036.png,000036.png,images/kitti/train/000036.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000036.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,7,7,0,0,2,False,202520,True,True,True,0.004062176165803066,True,created
38,kitti_000037,KITTI,val,in_domain_validation,000037,data/kitti/raw/training/image_2/000037.png,000037.png,images/kitti/val/000037.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000037.png,1241,376,640,640,0.515713134568896,0.515713134568896,0.5159574468085106,640,194,0,223,0,223,114,opencv_inter_area,.png,.png,3,3,3,0,0,0,False,225968,True,True,True,0.0015628427286689117,True,created
39,kitti_000038,KITTI,train,model_training,000038,data/kitti/raw/training/image_2/000038.png,000038.png,images/kitti/train/000038.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000038.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,12,12,0,0,1,False,247302,True,True,True,0.004062176165803066,True,created
40,kitti_000039,KITTI,train,model_training,000039,data/kitti/raw/training/image_2/000039.png,000039.png,images/kitti/train/000039.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000039.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,2,False,206687,True,True,True,0.004062176165803066,True,created
41,kitti_000040,KITTI,train,model_training,000040,data/kitti/raw/training/image_2/000040.png,000040.png,images/kitti/train/000040.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000040.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,1,1,0,1,False,260121,True,True,True,0.004062176165803066,True,created
42,kitti_000041,KITTI,train,model_training,000041,data/kitti/raw/training/image_2/000041.png,000041.png,images/kitti/train/000041.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000041.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,4,False,257234,True,True,True,0.004062176165803066,True,created
43,kitti_000042,KITTI,val,in_domain_validation,000042,data/kitti/raw/training/image_2/000042.png,000042.png,images/kitti/val/000042.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000042.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,5,False,237264,True,True,True,0.004062176165803066,True,created
44,kitti_000043,KITTI,train,model_training,000043,data/kitti/raw/training/image_2/000043.png,000043.png,images/kitti/train/000043.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000043.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,0,4,0,5,False,245246,True,True,True,0.004062176165803066,True,created
45,kitti_000044,KITTI,train,model_training,000044,data/kitti/raw/training/image_2/000044.png,000044.png,images/kitti/train/000044.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000044.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,2,0,0,1,False,282927,True,True,True,0.004062176165803066,True,created
46,kitti_000045,KITTI,train,model_training,000045,data/kitti/raw/training/image_2/000045.png,000045.png,images/kitti/train/000045.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000045.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,6,False,247659,True,True,True,0.004062176165803066,True,created
47,kitti_000046,KITTI,train,model_training,000046,data/kitti/raw/training/image_2/000046.png,000046.png,images/kitti/train/000046.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000046.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,1,False,264489,True,True,True,0.004062176165803066,True,created
48,kitti_000047,KITTI,val,in_domain_validation,000047,data/kitti/raw/training/image_2/000047.png,000047.png,images/kitti/val/000047.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000047.png,1241,376,640,640,0.515713134568896,0.515713134568896,0.5159574468085106,640,194,0,223,0,223,114,opencv_inter_area,.png,.png,3,9,9,0,0,0,False,217549,True,True,True,0.0015628427286689117,True,created
49,kitti_000048,KITTI,train,model_training,000048,data/kitti/raw/training/image_2/000048.png,000048.png,images/kitti/train/000048.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000048.png,1238,374,640,640,0.5169628432956381,0.5169628432956381,0.516042780748663,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,0,3,1,6,False,266478,True,True,True,0.005901748358316361,True,created
50,kitti_000049,KITTI,train,model_training,000049,data/kitti/raw/training/image_2/000049.png,000049.png,images/kitti/train/000049.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000049.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,18,16,2,0,1,False,265349,True,True,True,0.004062176165803066,True,created
51,kitti_000050,KITTI,train,model_training,000050,data/kitti/raw/training/image_2/000050.png,000050.png,images/kitti/train/000050.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000050.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,5,0,0,0,False,224571,True,True,True,0.004062176165803066,True,created
52,kitti_000051,KITTI,train,model_training,000051,data/kitti/raw/training/image_2/000051.png,000051.png,images/kitti/train/000051.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000051.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,2,1,0,1,9,False,212334,True,True,True,0.004062176165803066,True,created
53,kitti_000052,KITTI,val,in_domain_validation,000052,data/kitti/raw/training/image_2/000052.png,000052.png,images/kitti/val/000052.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000052.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,6,6,0,0,3,False,230655,True,True,True,0.004062176165803066,True,created
54,kitti_000053,KITTI,train,model_training,000053,data/kitti/raw/training/image_2/000053.png,000053.png,images/kitti/train/000053.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000053.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,7,7,0,0,2,False,265645,True,True,True,0.004062176165803066,True,created
55,kitti_000054,KITTI,train,model_training,000054,data/kitti/raw/training/image_2/000054.png,000054.png,images/kitti/train/000054.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000054.png,1224,370,640,640,0.5228758169934641,0.5228758169934641,0.5216216216216216,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,0,1,0,0,False,267653,True,True,True,0.00795406805769483,True,created
56,kitti_000055,KITTI,train,model_training,000055,data/kitti/raw/training/image_2/000055.png,000055.png,images/kitti/train/000055.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000055.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,5,0,0,2,False,258687,True,True,True,0.004062176165803066,True,created
57,kitti_000056,KITTI,train,model_training,000056,data/kitti/raw/training/image_2/000056.png,000056.png,images/kitti/train/000056.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000056.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,1,0,0,1,False,280684,True,True,True,0.004062176165803066,True,created
58,kitti_000057,KITTI,train,model_training,000057,data/kitti/raw/training/image_2/000057.png,000057.png,images/kitti/train/000057.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000057.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,3,3,0,0,2,False,272031,True,True,True,0.004062176165803066,True,created
59,kitti_000058,KITTI,train,model_training,000058,data/kitti/raw/training/image_2/000058.png,000058.png,images/kitti/train/000058.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000058.png,1224,370,640,640,0.5228758169934641,0.5228758169934641,0.5216216216216216,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,1,0,1,0,0,False,268570,True,True,True,0.00795406805769483,True,created
60,kitti_000059,KITTI,train,model_training,000059,data/kitti/raw/training/image_2/000059.png,000059.png,images/kitti/train/000059.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000059.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,5,0,0,1,False,210273,True,True,True,0.004062176165803066,True,created
61,kitti_000060,KITTI,val,in_domain_validation,000060,data/kitti/raw/training/image_2/000060.png,000060.png,images/kitti/val/000060.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/val/000060.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,4,3,0,1,5,False,248254,True,True,True,0.004062176165803066,True,created
62,kitti_000061,KITTI,train,model_training,000061,data/kitti/raw/training/image_2/000061.png,000061.png,images/kitti/train/000061.png,C:/Users/Mazen/Desktop/AAST/Research/Autonomous research/data/processed/milestone_3/images/kitti/train/000061.png,1242,375,640,640,0.5152979066022544,0.5152979066022544,0.5146666666666667,640,193,0,223,0,224,114,opencv_inter_area,.png,.png,3,5,5,0,0,3,False,251682,True,True,True,0.004062176165803066,True,created
