image_id,split,image_width,image_height,original_annotation_count,target_box_count,ignored_box_count,vehicle_count,pedestrian_count,cyclist_count,contains_vehicle,contains_pedestrian,contains_cyclist,target_empty,ignored_only,presence_signature,density_group,stratification_group
000020,val,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000021,train,1242,375,10,8,2,7,0,1,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000022,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000023,train,1242,375,6,3,3,2,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000024,val,1241,376,7,3,4,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000025,val,1242,375,9,6,3,5,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000026,train,1242,375,2,2,0,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000027,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000028,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000029,train,1242,375,4,1,3,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000030,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000031,train,1242,375,9,6,3,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000032,val,1242,375,12,10,2,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000033,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000034,train,1242,375,6,2,4,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000035,val,1242,375,11,5,6,3,1,1,True,True,True,False,False,V1_P1_C1,medium,V1_P1_C1__medium
000036,train,1242,375,9,7,2,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000037,val,1241,376,3,3,0,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000038,train,1242,375,13,12,1,12,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000039,train,1242,375,8,6,2,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000040,train,1242,375,3,2,1,1,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000041,train,1242,375,5,1,4,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000042,val,1242,375,6,1,5,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000043,train,1242,375,9,4,5,0,4,0,False,True,False,False,False,V0_P1_C0,medium,V0_P1_C0__medium
000044,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000045,train,1242,375,12,6,6,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000046,train,1242,375,7,6,1,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000047,val,1241,376,9,9,0,9,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000048,train,1238,374,10,4,6,0,3,1,False,True,True,False,False,V0_P1_C1,medium,V0_P1_C1__medium
000049,train,1242,375,19,18,1,16,2,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000050,train,1242,375,5,5,0,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000051,train,1242,375,11,2,9,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000052,val,1242,375,9,6,3,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000053,train,1242,375,9,7,2,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000054,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000055,train,1242,375,7,5,2,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000056,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000057,train,1242,375,5,3,2,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000058,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000059,train,1242,375,6,5,1,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000060,val,1242,375,9,4,5,3,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000061,train,1242,375,8,5,3,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000062,train,1242,375,6,5,1,4,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000063,train,1242,375,4,4,0,3,1,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000064,train,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000065,val,1238,374,9,6,3,0,6,0,False,True,False,False,False,V0_P1_C0,medium,V0_P1_C0__medium
000066,train,1242,375,5,2,3,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000067,train,1242,375,9,6,3,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000068,train,1242,375,12,12,0,10,0,2,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000069,train,1242,375,5,2,3,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000070,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000071,train,1242,375,3,1,2,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000072,train,1242,375,4,3,1,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000073,train,1242,375,8,7,1,0,5,2,False,True,True,False,False,V0_P1_C1,high,V0_P1_C1__high
000074,train,1224,370,5,3,2,0,3,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000075,train,1242,375,7,5,2,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000076,train,1238,374,10,9,1,0,8,1,False,True,True,False,False,V0_P1_C1,high,V0_P1_C1__high
000077,train,1242,375,3,1,2,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000078,val,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000079,train,1242,375,10,6,4,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000080,val,1242,375,5,4,1,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000081,train,1242,375,7,2,5,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000082,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000083,val,1238,374,6,6,0,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000084,train,1242,375,2,2,0,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000085,train,1242,375,6,4,2,2,1,1,True,True,True,False,False,V1_P1_C1,medium,V1_P1_C1__medium
000086,val,1242,375,8,7,1,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000087,train,1242,375,11,6,5,5,1,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000088,train,1242,375,5,1,4,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000089,train,1242,375,6,6,0,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000090,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000091,train,1242,375,6,2,4,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000092,val,1242,375,7,6,1,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000093,train,1242,375,8,6,2,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000094,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000095,train,1242,375,15,15,0,15,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000096,train,1242,375,9,5,4,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000097,val,1242,375,8,2,6,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000098,val,1241,376,8,5,3,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000099,val,1242,375,14,10,4,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000100,train,1242,375,5,4,1,2,1,1,True,True,True,False,False,V1_P1_C1,medium,V1_P1_C1__medium
000101,train,1242,375,7,3,4,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000102,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000103,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000104,train,1242,375,8,7,1,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000105,train,1242,375,7,2,5,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000106,train,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000107,val,1242,375,10,7,3,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000108,train,1242,375,4,2,2,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000109,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000110,train,1242,375,12,12,0,12,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000111,train,1242,375,14,14,0,14,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000112,train,1242,375,11,10,1,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000113,train,1242,375,18,15,3,15,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000114,train,1242,375,14,12,2,10,1,1,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000115,train,1242,375,5,1,4,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000116,train,1242,375,5,4,1,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000117,train,1242,375,11,8,3,8,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000118,train,1238,374,7,5,2,0,5,0,False,True,False,False,False,V0_P1_C0,medium,V0_P1_C0__medium
000119,train,1242,375,6,5,1,4,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000120,train,1242,375,11,10,1,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000121,train,1242,375,12,4,8,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000122,train,1242,375,4,2,2,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000123,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000124,val,1224,370,10,5,5,2,2,1,True,True,True,False,False,V1_P1_C1,medium,V1_P1_C1__medium
000125,train,1242,375,9,7,2,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000126,train,1242,375,4,2,2,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000127,train,1242,375,14,11,3,9,1,1,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000128,val,1242,375,6,2,4,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000129,train,1242,375,10,6,4,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000130,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000131,train,1242,375,11,7,4,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000132,val,1241,376,3,3,0,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000133,train,1242,375,4,1,3,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000134,train,1224,370,17,15,2,3,7,5,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000135,train,1242,375,15,8,7,8,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000136,train,1242,375,8,6,2,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000137,train,1242,375,10,5,5,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000138,train,1242,375,7,7,0,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000139,train,1242,375,8,3,5,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000140,val,1242,375,4,4,0,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000141,train,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000142,train,1242,375,14,14,0,9,4,1,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000143,train,1242,375,9,4,5,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000144,train,1242,375,9,7,2,3,4,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000145,train,1224,370,17,15,2,4,9,2,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000146,val,1242,375,18,17,1,16,1,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000147,val,1238,374,4,2,2,1,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000148,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000149,train,1242,375,11,11,0,10,1,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000150,train,1242,375,6,4,2,3,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000151,train,1224,370,7,4,3,2,1,1,True,True,True,False,False,V1_P1_C1,medium,V1_P1_C1__medium
000152,train,1242,375,11,7,4,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000153,train,1224,370,4,4,0,1,3,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000154,train,1242,375,10,9,1,7,1,1,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000155,train,1242,375,11,4,7,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000156,train,1224,370,2,2,0,1,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000157,train,1242,375,15,8,7,7,0,1,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000158,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000159,train,1242,375,11,8,3,8,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000160,train,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000161,train,1242,375,17,13,4,13,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000162,train,1242,375,9,5,4,4,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000163,train,1242,375,12,7,5,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000164,train,1242,375,7,4,3,3,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000165,val,1242,375,11,10,1,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000166,train,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000167,train,1242,375,8,3,5,0,1,2,False,True,True,False,False,V0_P1_C1,low,V0_P1_C1__low
000168,train,1242,375,6,5,1,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000169,val,1242,375,20,16,4,15,0,1,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000170,train,1241,376,3,3,0,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000171,train,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000172,train,1242,375,9,9,0,9,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000173,train,1242,375,10,7,3,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000174,val,1242,375,5,2,3,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000175,val,1242,375,4,3,1,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000176,train,1242,375,7,5,2,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000177,train,1242,375,10,8,2,2,4,2,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000178,val,1242,375,9,8,1,8,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000179,train,1242,375,5,2,3,1,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000180,train,1242,375,4,2,2,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000181,train,1242,375,14,13,1,13,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000182,train,1242,375,5,3,2,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000183,train,1242,375,8,7,1,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000184,val,1242,375,7,5,2,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000185,train,1242,375,7,6,1,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000186,train,1242,375,10,9,1,8,1,0,True,True,False,False,False,V1_P1_C0,high,V1_P1_C0__high
000187,train,1242,375,3,1,2,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000188,train,1242,375,6,4,2,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000189,train,1224,370,8,5,3,0,4,1,False,True,True,False,False,V0_P1_C1,medium,V0_P1_C1__medium
000190,train,1238,374,5,4,1,2,2,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000191,train,1241,376,11,10,1,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000192,train,1241,376,9,7,2,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000193,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000194,train,1242,375,3,3,0,2,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000195,train,1242,375,7,2,5,0,1,1,False,True,True,False,False,V0_P1_C1,low,V0_P1_C1__low
000196,train,1242,375,3,1,2,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000197,val,1242,375,13,6,7,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000198,val,1242,375,3,3,0,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000199,train,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000200,train,1242,375,4,3,1,2,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000201,val,1242,375,13,12,1,8,2,2,True,True,True,False,False,V1_P1_C1,high,V1_P1_C1__high
000202,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000203,train,1242,375,5,3,2,2,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000204,train,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000205,train,1242,375,6,2,4,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000206,val,1224,370,4,4,0,2,2,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000207,train,1242,375,10,4,6,3,1,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000208,train,1242,375,3,3,0,2,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000209,val,1224,370,1,1,0,0,1,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
000210,train,1242,375,9,6,3,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000211,train,1242,375,11,8,3,5,0,3,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000212,val,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000213,train,1242,375,14,10,4,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000214,val,1242,375,10,6,4,3,0,3,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000215,val,1242,375,2,2,0,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000216,train,1242,375,7,5,2,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000217,train,1242,375,8,8,0,6,0,2,True,False,True,False,False,V1_P0_C1,high,V1_P0_C1__high
000218,val,1242,375,12,7,5,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000219,train,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000220,train,1242,375,8,2,6,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000221,train,1242,375,4,3,1,2,1,0,True,True,False,False,False,V1_P1_C0,low,V1_P1_C0__low
000222,train,1242,375,8,7,1,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000223,val,1242,375,6,4,2,3,1,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000224,train,1242,375,6,1,5,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000225,train,1242,375,6,5,1,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000226,train,1242,375,11,9,2,9,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000227,val,1242,375,6,6,0,6,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000228,train,1242,375,10,5,5,4,1,0,True,True,False,False,False,V1_P1_C0,medium,V1_P1_C0__medium
000229,train,1242,375,6,1,5,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000230,train,1242,375,6,3,3,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000231,train,1242,375,8,5,3,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000232,train,1242,375,6,2,4,1,0,1,True,False,True,False,False,V1_P0_C1,low,V1_P0_C1__low
000233,train,1242,375,4,2,2,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000234,train,1242,375,13,7,6,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000235,train,1242,375,7,4,3,4,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000236,train,1241,376,9,9,0,9,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000237,train,1242,375,6,3,3,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000238,train,1242,375,7,3,4,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000239,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000240,val,1242,375,2,1,1,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000241,train,1242,375,3,2,1,2,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000242,train,1242,375,5,3,2,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000243,train,1242,375,11,5,6,5,0,0,True,False,False,False,False,V1_P0_C0,medium,V1_P0_C0__medium
000244,train,1242,375,11,10,1,10,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000245,train,1242,375,5,5,0,4,0,1,True,False,True,False,False,V1_P0_C1,medium,V1_P0_C1__medium
000246,train,1241,376,9,7,2,7,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000247,train,1242,375,1,1,0,1,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000248,val,1241,376,11,9,2,9,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000249,train,1241,376,9,8,1,8,0,0,True,False,False,False,False,V1_P0_C0,high,V1_P0_C0__high
000250,train,1242,375,4,3,1,3,0,0,True,False,False,False,False,V1_P0_C0,low,V1_P0_C0__low
000251,train,1238,374,6,2,4,0,2,0,False,True,False,False,False,V0_P1_C0,low,V0_P1_C0__low
